,battery storage
390,0.35448355397304354
391,0.35448355397304354
392,0.2232891499453622
393,-0.18510598266507827
394,-0.7133061927849056
395,-1.9924148587735075
396,-0.7418911277600877
397,-0.5781763170632566
398,-0.5590712580043622
399,-0.6515059741253069
400,0.2632091850549365
401,0.35448355397304354
402,0.35448355397304354
403,0.35448355397304354
404,0.35448355397304354
405,0.35448355397304354
406,0.35448355397304354
407,0.35448355397304354
408,0.35448355397304354
409,0.35448355397304354
410,0.35448355397304354
411,0.35448355397304354
412,0.35448355397304354
413,0.35448355397304354
414,0.35448355397304354
415,0.35448355397304354
416,0.17175525212307008
417,-0.34038209648743134
418,-0.973587640172461
419,-0.7147112081330746
420,-1.0110319323834673
421,-0.7692644115284963
422,-0.5247612183120047
423,-0.14825947951253937
424,0.2775929769166119
425,0.35448355397304354
426,0.35448355397304354
427,0.35448355397304354
428,0.35448355397304354
429,0.35448355397304354
430,0.35448355397304354
431,0.35448355397304354
432,0.0
433,0.0
434,0.0
435,0.35448355397304354
436,0.35448355397304354
437,0.35448355397304354
438,0.35448355397304354
439,0.35448355397304354
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,-1.38893292195674
447,-3.5830062057186183
448,-0.8221403311751416
449,0.35448355397304354
450,0.35448355397304354
451,0.35448355397304354
452,0.35448355397304354
453,0.35448355397304354
454,0.35448355397304354
455,0.35448355397304354
456,0.35448355397304354
457,0.35448355397304354
458,0.35448355397304354
459,0.35448355397304354
460,0.35448355397304354
461,0.35448355397304354
462,0.35448355397304354
463,0.35448355397304354
464,0.24504496999218617
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,-1.8372712629896448
471,-2.0036439414567404
472,-0.40564793308347546
473,0.35448355397304354
474,0.35448355397304354
475,0.35448355397304354
476,0.35448355397304354
477,0.35448355397304354
478,0.0
479,0.0
480,0.0
481,0.1773506006733072
482,0.35448355397304354
483,0.35448355397304354
484,0.35448355397304354
485,0.35448355397304354
486,0.35448355397304354
487,0.35448355397304354
488,0.0
489,0.0
490,0.0
491,0.0
492,-2.30747493763865
493,-4.776769362332033
494,-1.981939912477177
495,-0.5838661908663418
496,0.056960595073565656
497,0.35448355397304354
498,0.35448355397304354
499,0.35448355397304354
500,0.35448355397304354
501,0.35448355397304354
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.35448355397304354
508,0.35448355397304354
509,0.35448355397304354
510,0.35448355397304354
511,0.35448355397304354
512,0.34895392400502345
513,0.23313659632019323
514,-0.2216130026776817
515,-0.0009390580972734597
516,-0.24898709821830778
517,-0.38172549299721226
518,-0.09134531780961908
519,0.10818910418891292
520,0.35227114998073006
521,0.35448355397304354
522,0.35448355397304354
523,0.35448355397304354
524,0.35448355397304354
525,0.35448355397304354
526,0.35448355397304354
527,0.35448355397304354
528,0.35448355397304354
529,0.35448355397304354
530,0.35448355397304354
531,0.35448355397304354
532,0.35448355397304354
533,0.35448355397304354
534,0.35448355397304354
535,0.35448355397304354
536,0.2034132319919557
537,0.0
538,0.0
539,0.0
540,0.0
541,-1.22686408050628
542,-2.002062771538114
543,-1.0862630846798282
544,-0.1159665314177829
545,0.35448355397304354
546,0.35448355397304354
547,0.35448355397304354
548,0.35448355397304354
549,0.35448355397304354
550,0.35448355397304354
551,0.0
552,0.0
553,0.0
554,0.35448355397304354
