,biomethane boiler,biomethane CHP,large scale heat pump,geothermal plant,elec boiler,selling,heating_grid_7MW,heating_grid_14MW,heating_grid_21MW,heating_grid_28MW,heating_grid_35MW,heating_grid_42MW,heating_grid_49MW,heating_grid_56MW,heating_grid_63MW,heating_grid_71MW,heating_grid_78MW,heating_grid_85MW,heating_grid_92MW,heating_grid_99MW,heating_grid_106MW,heating_grid_113MW,heating_grid_121MW,heating_grid_128MW,heating_grid_136MW,heating_grid_143MW
2016,1.06,0.43,2.966226242879048,25.0,0.99,0.0,0.9601744195686983,0.9690371697091884,0.9750001435948364,0.9764031306244266,0.9744059883038292,0.9693255203602137,0.968345170622573,0.9649896065123859,0.9634683086833131,0.9623944694425569,0.9606177079063364,0.9586233287499516,0.9556913552772036,0.9511076402905481,0.9454632051571659,0.9381753033502203,0.9272182943926104,0.9155637801727259,0.9006478779706635,0.8666494987026689
2017,1.06,0.43,2.9258774606057627,25.0,0.99,0.0,0.9608170896710714,0.9695368205641729,0.9754035692348703,0.9767839160968051,0.9748190018980765,0.9698205180666337,0.9688559883486745,0.965554573373462,0.9640578249074107,0.9630013143375067,0.9612532246123685,0.9592910289883447,0.9564063691183486,0.9518966220826386,0.9463432718666819,0.9391729757932783,0.9283927813853179,0.9169263374400077,0.9022511349161766,0.8688013915160855
2018,1.06,0.43,2.8837275779435823,25.0,0.99,0.0,0.9645730923852633,0.9724569656907949,0.9777613384750243,0.9790093677904464,0.9772328067028477,0.9727134684652402,0.9718413968165811,0.9688564494927879,0.9675031766198908,0.9665479412369197,0.9649674202221491,0.963193317111615,0.9605851755045623,0.9565077246399191,0.9514867085030008,0.9450037440057149,0.9352569194805914,0.9248896280540497,0.9116211638262796,0.8813778521573967
2019,1.06,0.43,2.8423055473021077,25.0,0.99,0.0,0.9693864226504949,0.9761991416119487,0.9807828277831083,0.9818612917122104,0.9803261057777569,0.9764207942498598,0.9756672079317746,0.9730878149806628,0.9719184065688434,0.9710929556827094,0.9697271745407485,0.9681941126265966,0.9659403301148891,0.9624168682651837,0.9580780400628395,0.9524758933203109,0.9440533358180636,0.9350946120862955,0.9236288877740494,0.8974946292847364
2020,1.06,0.43,2.7927114257747783,25.0,0.99,0.0,0.9745678924144069,0.9802275315869227,0.9840354106372099,0.9849313402555937,0.9836559906483535,0.9804116686340123,0.9797856297984404,0.9776428093665364,0.9766713279809619,0.9759855879413999,0.9748509706915383,0.9735773856057129,0.9717050647508881,0.9687779628374984,0.965173498570626,0.9605195374526657,0.9535225313172014,0.9460801072197245,0.9365550023642311,0.914844071100569
2021,1.06,0.43,2.747629913658126,25.0,0.99,0.0,0.9798398713128326,0.984326288872087,0.9873448091194001,0.9880550159451803,0.9870440414470362,0.9844722550116571,0.9839759916388393,0.9822773697092454,0.981507272709441,0.9809636839645056,0.980064268542842,0.9790546927875539,0.9775704969044601,0.9752501720530576,0.9723928994804295,0.968703686750915,0.9631571332990978,0.9572574953298636,0.9497069083799133,0.9324965703565865
2022,1.06,0.43,2.692077665371948,25.0,0.99,0.0,0.9814551876384571,0.9855821341030828,0.9883587975095804,0.9890120995061278,0.9880821286383168,0.9857164048069792,0.9852599041926418,0.9836973831667928,0.9829889896548679,0.9824889555810234,0.9816616051960804,0.9807329209978243,0.9793676452802507,0.9772332348479168,0.9746048992580304,0.9712112821391967,0.9661091424349649,0.9606822088653334,0.9537366074567734,0.9379052358284523
2023,1.06,0.43,2.7354871332860387,25.0,0.99,0.0,0.980812195138004,0.9850822325962074,0.9879551694894275,0.9886311230111628,0.9876689078541142,0.9852211587829393,0.9847488302127428,0.9831321328877848,0.9823991776975503,0.9818818062598552,0.9810257696804986,0.9800648858048812,0.9786522727494938,0.9764438572598899,0.9737243910594574,0.9702131092096855,0.9649340662560637,0.9593189680656369,0.9521325462308695,0.9357522635092227
2024,1.06,0.43,2.891728915422616,25.0,0.99,0.0,0.9792088609345315,0.9838357029962884,0.9869487026803514,0.9876811389216655,0.9866385210044528,0.9839862378640835,0.9834744414883032,0.9817226528313032,0.9809284518584183,0.9803678488302457,0.979440281779479,0.9783991063856591,0.976868455292869,0.9744755044634789,0.9715287994931244,0.9677241147070469,0.9620039545860358,0.9559196584311039,0.9481327387274487,0.9303837185322317
2025,1.06,0.43,3.05552804062236,25.0,0.99,0.0,0.9775572952201013,0.9825516752840436,0.9859119593295377,0.9867025774040045,0.9855771380502222,0.9827141680453284,0.982161716593155,0.980270772785698,0.9794134836340915,0.978808348522428,0.9778070992200992,0.976683216978053,0.9750309770267764,0.9724479396641909,0.9692671601256151,0.9651602462540066,0.958985699275827,0.9524180907398715,0.9440126089861487,0.9248536769469078
2026,1.06,0.43,3.238369272748283,25.0,0.99,0.0,0.9764029702260306,0.9816542327733562,0.9851873507040227,0.9860186336721855,0.9848353081238413,0.9818250832374021,0.9812442168269824,0.9792560136329792,0.9783546304069486,0.9777183705894605,0.9766656227219495,0.9754839343743064,0.9737467126041863,0.9710308185018498,0.9676864377682303,0.9633682876228756,0.9568761570925406,0.9499707481551327,0.9411329362624768,0.9209885778083056
2027,1.06,0.43,3.414127198529237,25.0,0.99,0.0,0.9749951715857118,0.9805597244218955,0.9843036281449489,0.9851845054494967,0.9839305827067611,0.9807407678234971,0.9801252469268716,0.9780184275434579,0.9770632678001212,0.976389048726128,0.9752734939278008,0.9740213060611492,0.9721804416517084,0.9693025173251808,0.9657586108591028,0.9611828399046228,0.9543033889097664,0.9469860033208033,0.937620927629057,0.916274756882681
2028,1.06,0.43,3.5481798037101946,25.0,0.99,0.0,0.9722207041784691,0.9784026845860033,0.9825620016317704,0.9835406186740502,0.9821475640915245,0.9786038160685433,0.9779199986558265,0.9755794123528648,0.9745182706954478,0.9737692421160605,0.9725299084068098,0.9711387811974757,0.9690936595053802,0.965896408562722,0.9619592799228485,0.9568757939316614,0.9492330178601952,0.9411037151692053,0.9306995162792264,0.9069848327790729
2029,1.06,0.43,3.641883419090808,25.0,0.99,0.0,0.971706975874687,0.9780032809335437,0.982239517095783,0.983236231906862,0.981817415275782,0.978208131982484,0.9775116685919213,0.975127797338938,0.9740470317678249,0.9732841512469037,0.9720218982812268,0.9706050446666523,0.9685221021131262,0.9652657237428295,0.9612557849629534,0.9560782890064913,0.9482941734852202,0.9400145339063121,0.9294179279991683,0.9052646839175109
2030,1.06,0.43,3.7109958705166175,25.0,0.99,0.0,0.9722280775889655,0.9784084171241206,0.9825666301695501,0.9835449874591992,0.9821523026327444,0.9786094952206787,0.9779258593124363,0.9755858942672533,0.9745250342668331,0.9737762045008076,0.972537199745762,0.9711464417809197,0.9691018629219418,0.9659054606200774,0.9619693770054567,0.9568872403151738,0.9492464928525559,0.9411193479083346,0.930717910586892,0.9070095216342089
2031,1.06,0.43,3.745301542535607,25.0,0.99,0.0,0.9730235106224239,0.9790268351799519,0.9830659502397419,0.9840162857851561,0.9826634897175623,0.9792221540727379,0.9785580986089539,0.9762851539690036,0.975254678724659,0.9745272966612274,0.9733237790178116,0.9719728546233793,0.9699868358287668,0.9668819836883027,0.9630586359110931,0.9581220598825523,0.9507001558561982,0.9428057855633193,0.932702262326414,0.9096729201989354
2032,1.06,0.43,3.747826650575231,25.0,0.99,0.0,0.9740987454719837,0.9798627881983171,0.9837409113212807,0.9846533681834125,0.9833544921591523,0.980050322027696,0.9794127346327074,0.9772303855203585,0.9762409831850503,0.9755425932759572,0.9743870457035967,0.9730899667509372,0.9711831071304469,0.9682020088697939,0.9645310529295835,0.9597912400346402,0.9526651598920958,0.9450854451474399,0.935384630362906,0.9132731968213567
2033,1.06,0.43,3.7109958705166175,25.0,0.99,0.0,0.9752491228148672,0.9807571615646898,0.9844630418733626,0.9853349729107929,0.9840937851173441,0.9809363662736355,0.9803270966611892,0.9782416743201051,0.9772962152628456,0.976628843616866,0.9755246184908538,0.9742851479539355,0.9724629795247965,0.9696142836499916,0.9661063694086215,0.961577070385041,0.9547674876975016,0.9475244181179802,0.938254454955848,0.9171250777906551
2034,1.06,0.43,3.545027833649586,25.0,0.99,0.0,0.9748567383885222,0.9804520980283872,0.9842167289707505,0.9851024830398807,0.9838416182565349,0.9806341437330838,0.9800152151535804,0.9778967318731658,0.9769362841184537,0.9762583323932911,0.9751366015950804,0.9738774812925413,0.9720264253816204,0.9691325681216933,0.9655690416728459,0.9609679380669139,0.9540504006520929,0.9466925041239878,0.937275580951089,0.9158112322826246
2035,1.06,0.43,3.279654067105863,25.0,0.99,0.0,0.975272857887426,0.9807756146547797,0.9844779411767579,0.9853490360682089,0.9841090385227711,0.9809546475137848,0.9803459621658216,0.9782625396589336,0.9773179872579982,0.9766512555939604,0.9755480893743979,0.9743098074387121,0.9724893863941024,0.9696434223013988,0.9661388720054124,0.961613916393185,0.9548108638151838,0.947574740041289,0.9383136663923093,0.9172045514302047
2036,1.06,0.43,3.105416808791633,25.0,0.99,0.0,0.9743500181240697,0.9800581428522607,0.9838986436167718,0.9848022485734712,0.9835159731752924,0.9802438573827863,0.979612455335905,0.9774512775783507,0.9764714736101218,0.9757798589050815,0.9746355215041357,0.9733510257438481,0.9714626649058581,0.9685104868067854,0.96487514345954,0.9601813123279593,0.9531243635494752,0.9456181809584022,0.936011475494159,0.9141145488808897
2037,1.06,0.43,2.978972193575451,25.0,0.99,0.0,0.9717469631013231,0.978034369437433,0.982264618422948,0.9832599245524783,0.9818431131698274,0.9782389309653492,0.9775434519036202,0.9751629498344909,0.9740837117359322,0.9733219094128083,0.9720614404202826,0.9706465892797578,0.9685665906001558,0.9653148145494743,0.9613105431146681,0.9561403646405402,0.9483672506011231,0.940099312840403,0.9295176833769264,0.9053985756689847
2038,1.06,0.43,2.90905340217553,25.0,0.99,0.0,0.9648522966323939,0.9726740360668384,0.9779366043722287,0.9791747977999352,0.9774122380303837,0.97292851730825,0.9720633185741212,0.9691018960236254,0.9677592884771449,0.9668115814333342,0.9652435167183008,0.9634833955541644,0.9608958090636274,0.9568504931403472,0.9518690483102328,0.9454371769323725,0.9357671684486898,0.9254815830470997,0.9123176893792435,0.8823127293372393
