,pv panels,st panels,electricity grid,biomethane,dec ground heat pump
1485,0.0,0.0,18.227309859712683,7.123992507537225,16.822839746844334
1486,0.0,0.0,18.227309859712683,0.471065574281461,14.470254103886695
1487,0.0,0.0,18.227309859712683,0.0,13.687807389364378
1488,0.0,0.0,18.227309859712683,0.0,14.030594261350748
1489,0.0,0.0,18.227309859712683,1.2745101619412225,14.532359345779387
1490,0.0,0.0,18.227309859712683,3.4399037264608077,15.089543269744935
1491,0.0,0.0,18.227309859712683,7.641544584455492,16.39656528652209
1492,0.0,0.0,18.227309859712683,18.44571798850748,19.80402911166493
1493,0.0,0.0,18.227309859712683,33.778458196133506,24.709167352827023
1494,0.0,0.0,18.227309859712683,36.0195749918148,27.108175803452237
1495,1.5473183680321025,0.0,17.032545311740733,36.0195749918148,26.096952608588044
1496,4.898178897489185,0.8490960703228909,13.68168478228365,31.61807609895044,24.840608511077264
1497,7.964484412602848,4.296287216914128,10.615379267169988,22.780241598735927,23.72792567810655
1498,10.215595177617987,7.161008165090518,8.364268502154848,14.70579807697867,22.444959330153143
1499,11.550802261713056,9.023112413004096,7.029061418059779,7.7991754029906355,21.32447955209074
1500,11.209577822527306,8.720734259864548,7.370285857245529,5.166712752495148,20.724848311710964
1501,9.487722107759483,6.6098240928364635,9.092141572013352,5.115562349599656,20.39486431545222
1502,7.192693403424035,3.910096485636576,11.387170276348801,7.809690231737495,20.551885520423433
1503,5.710182919549424,2.4276806017500037,12.86968076022341,9.84503773657203,20.811096977373293
1504,3.425750352440149,0.2738169652545218,18.177216579950837,13.10538179314113,20.99021983257261
1505,1.077562420862511,0.0,18.227309859712683,14.2363513418746,21.02652681202412
1506,0.0,0.0,18.227309859712683,16.726080118386363,20.88690349544459
1507,0.0,0.0,18.227309859712683,16.805044105523578,20.52207927108072
1508,0.0,0.0,18.227309859712683,14.528714274650318,19.50128593082765
1509,0.0,0.0,18.227309859712683,8.722491953968955,17.26156343280262
1510,0.0,0.0,18.227309859712683,1.548107725905247,14.647174596375114
1511,0.0,0.0,18.227309859712683,0.0,13.734931973750525
1512,0.0,0.0,18.227309859712683,0.0,13.384520892884291
1513,0.0,0.0,18.227309859712683,0.0,13.997294575247347
1514,0.0,0.0,18.227309859712683,2.0145813503472936,14.758278720496538
1515,0.0,0.0,18.227309859712683,6.363007024659521,16.069280365203223
1516,0.0,0.0,18.227309859712683,16.87243058547269,19.477718796564947
1517,0.0,0.0,18.227309859712683,31.689125195084014,24.34751359342922
1518,0.0,0.0,18.227309859712683,35.66678733524043,25.675497784894947
1519,1.6179728784482577,0.0,16.96189080132458,32.778429255197445,24.65590271839397
1520,5.079227043417678,0.9586757247265387,13.500636636355157,26.53405805598847,23.184296811936377
1521,8.134213528183334,4.386774267299073,10.4456501515895,18.940097104120923,22.25725695641324
1522,10.169641076112589,6.975431222626941,8.410222603660246,12.739154166192728,21.502723040342367
1523,9.768722170197528,6.502780242912639,8.811141509575307,7.038258175927504,20.032869172516307
1524,8.958510224785305,5.570499259706217,9.62135345498753,4.151244874846354,19.06150036195491
1525,7.028168800914303,3.302197694004722,11.551694878858532,5.102692206360863,18.782022122651107
1526,6.230619943336094,2.5364666966693608,12.34924373643674,6.408569997259553,18.96953662422692
1527,4.704441953806649,1.0641974671515677,15.451396923760063,9.602373944333497,19.522784175993273
1528,2.7625912144387805,0.0,18.227309859712683,12.818185426988782,20.184499950955086
1529,0.7732753603025176,0.0,18.227309859712683,13.565477828205536,20.372272409065058
1530,0.0,0.0,18.227309859712683,14.15244586864651,20.013231069602597
1531,0.0,0.0,18.227309859712683,14.095749329428807,19.603698846116977
