,biomethane boiler,biomethane CHP,large scale heat pump,TTES charge,TTES discharge,selling
96,-0.0,-0.0,-7.888704842141737,-0.04027591386926588,-0.0,-0.0
97,-0.0,-0.0,-8.388851835508758,-0.04115604355979485,-0.0,-0.0
98,-0.0,-0.5912316120258515,-9.007546474064384,-0.04187868620795143,-0.0,-0.0
99,-0.0,-1.9474310378909274,-10.004411009315636,-0.0422460608646702,-0.0,-0.0
100,-0.0,-3.8325666822265587,-11.390066269254646,-0.042304525817428384,-0.0,-0.0
101,-0.0,-6.531481959910485,-13.373884336612063,-0.042405671040683046,-0.0,-0.0
102,-0.0,-6.878934593644227,-13.629276870809514,-0.0,-3.4130490533647135,-0.0
103,-0.0,-6.878934593644227,-13.629276870809514,-0.0,-3.0219039488096913,-0.0
104,-0.0,-6.865900107455672,-13.629276870809514,-0.9293446872941464,-0.0,-0.0
105,-0.0,-6.627183287502261,-13.629276870809514,-3.7929350457672495,-0.0,-0.0
106,-0.0,-5.054234928921062,-12.662733242641044,-1.9237179290411177,-0.0,1.7763568394002505e-15
107,-0.0,-3.341791691034898,-12.10323986289189,-0.04342420214680942,-0.0,-1.7763568394002505e-15
108,-0.0,-1.4702012775870694,-12.429386724898416,-0.043456634214464884,-0.0,-1.7763568394002505e-15
109,-0.0,-0.6669019908450229,-12.563860817239748,-0.043571999149435214,-0.0,-0.0
110,-0.0,-1.4454440038701897,-12.215025468729593,-0.04360653369587908,-0.0,-0.0
111,-0.0,-2.1702413584638673,-12.050851576118514,-0.043768865517847644,-0.0,-1.7763568394002505e-15
112,-0.0,-4.257688223761379,-11.702548769869985,-0.044271920424591826,-0.0,-0.0
113,-0.0,-4.414329988627738,-11.817687161139276,-0.04463902128355812,-0.0,1.7763568394002505e-15
114,-0.0,-4.6221854037328844,-11.970469773951605,-0.04491824170128211,-0.0,-0.0
115,-0.0,-9.150034189351484,-10.288637403684634,-0.0,-0.0,-0.0
116,-0.0,-9.150034189351484,-9.587428144926333,-0.0,-0.0,-0.0
117,-0.0,-2.4619543759021942,-10.382607650930755,-0.0,-0.0,-0.0
118,-0.0,-0.8489000611303996,-9.19694379562841,-0.17982310155150572,-0.0,-0.0
119,-0.0,-0.06269287235143127,-8.619047913278058,-0.04495732657460394,-0.0,-0.0
120,-0.0,-3.459813806160713,-11.116076975736162,-0.04500456773973838,-0.0,-0.0
121,-0.0,-3.7969766928776356,-11.363906106143473,-0.0451360017223692,-0.0,-0.0
122,-0.0,-4.500374082815227,-11.880933247465121,-0.045157819082362494,-0.0,-0.0
123,-0.0,-5.56799780805182,-12.66568231045954,-0.045135097709362526,-0.0,-0.0
124,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-1.478169954062551,-0.0
125,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-10.760546298801678,-0.0
126,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-15.892537030507171,-0.0
127,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-13.789600841145038,-0.0
128,-0.0,-9.150034189351484,-13.629276870809514,-0.0,-11.150324530295904,8.881784197001252e-16
