,battery storage
408,3.062245123375454
409,2.700523868739227
410,2.3388176857616556
411,1.9771265738147579
412,1.6154505322705761
413,1.2537895605011793
414,0.8921436578786627
415,0.5305128237751476
416,0.3520959046313995
417,0.6738657716589409
418,1.6053029672540993
419,2.2874426801877155
420,3.254865808165027
421,3.989463236185079
422,4.488610628426705
423,4.6252232504236765
424,4.340525450600762
425,3.97875093449728
426,3.6169914922716733
427,3.255247123295866
428,2.893517826941809
429,2.5318036025814785
430,2.1701044495868773
431,1.8084203673300345
432,1.808345016782799
433,1.8082696693751572
434,1.808194325106978
435,1.446525322378337
436,1.084871389131198
437,0.723232524737669
438,0.3616087285698829
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,1.191840945915452
447,4.635730188714597
448,5.421181558125286
449,5.0593620148641
450,4.697557547356914
451,4.3357681549755736
452,3.97399383709195
453,3.6122345930779427
454,3.250490422305476
455,3.14525948961879
456,2.7835347760644717
457,2.4218251343129307
458,2.0601305637361778
459,1.6984510637062495
460,1.3367866335952097
461,0.9751372727751471
462,0.613502980618177
463,0.25188375649644107
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,1.8406302212959844
471,3.763806523487698
472,4.148275321272128
473,3.7865088155586597
474,3.424757383389302
475,3.0630210241359928
476,2.701299737170696
477,2.339593521865403
478,2.3394960391919244
479,2.3393985605802072
480,2.339301086030083
481,2.1698783979450402
482,1.808194325106978
483,1.446525322378337
484,1.084871389131198
485,0.723232524737669
486,0.3616087285698829
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,2.4619244129458604
493,7.055173287083985
494,8.957234635104863
495,9.513084146445367
496,9.449383220749878
497,9.087395836424117
498,8.725423534845703
499,8.363466315386194
500,8.001524177417169
501,7.639597120310236
502,7.639278805036822
503,7.6389605030264915
504,7.638642214278692
505,7.63832393879287
506,7.638005676568474
507,7.2760937660051574
508,6.914196935044462
509,6.552315183058074
510,6.190448509417705
511,5.828596913495094
512,5.472304264027624
513,5.232142029907364
514,5.4393519697536625
515,5.433869533284647
516,5.667428162908678
517,6.028783968177537
518,6.110532725795997
519,5.995613144420359
520,5.63598776777831
521,5.27415927429419
522,4.9123458569369935
523,4.550547515078551
524,4.18876424809072
525,3.8269960553453837
526,3.4652429362144495
527,3.1035048900698534
528,2.741781916283557
529,2.380074014227548
530,2.01838118327384
531,1.6567034227944728
532,1.295040732161513
533,0.9333931107470523
534,0.5717605579232093
535,0.21014307306212876
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,1.273541703683138
542,3.1952192080642225
543,4.235040681956296
544,4.340570666580788
545,3.9787961485933154
546,3.617036704483796
547,3.2552923336241544
548,2.8935630353863413
549,2.5318488091423332
550,2.170149654264133
551,2.1700592317235636
552,2.169968812950585
553,2.1698783979450402
554,1.808194325106978
555,1.446525322378337
556,1.084871389131198
557,0.723232524737669
558,0.3616087285698829
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.6244771809690032
567,3.7059184547520037
568,4.659758068390602
569,4.297970250981251
570,3.936197508003995
571,3.5744398388307332
572,3.212697242833394
573,2.8509697193839316
574,2.850850929454119
575,2.8507321444738665
576,2.531577541520468
577,2.1698783979450402
578,1.808194325106978
579,1.446525322378337
580,1.084871389131198
581,0.723232524737669
