,pv panels,st panels,dec air heat pump,dec ground heat pump
7621,0.45097229,0.45532585646680723,0.3434904410941855,0.3434904410941855
7622,0.3125691,0.25769603900106597,0.34279472564714797,0.34279472564714797
7623,0.16424234,0.1119319663850466,0.35369597201234243,0.35369597201234243
7624,0.0,0.0,0.3612910151102854,0.3612910151102854
7625,0.0,0.0,0.37435920866054756,0.37435920866054756
7626,0.0,0.0,0.376384180808249,0.376384180808249
7627,0.0,0.0,0.37571287978485934,0.37571287978485934
7628,0.0,0.0,0.35544638777909304,0.35544638777909304
7629,0.0,0.0,0.30992542261172606,0.30992542261172606
7630,0.0,0.0,0.2556731341741822,0.2556731341741822
7631,0.0,0.0,0.22763029319987607,0.22763029319987607
7632,0.0,0.0,0.23534643476008038,0.23534643476008038
7633,0.0,0.0,0.24628632205369805,0.24628632205369805
7634,0.0,0.0,0.2662495431727859,0.2662495431727859
7635,0.0,0.0,0.3058600416962609,0.3058600416962609
7636,0.0,0.0,0.36360639406279055,0.36360639406279055
7637,0.0,0.0,0.4491550032706843,0.4491550032706843
7638,0.0,0.0,0.4958008276256635,0.4958008276256635
7639,0.0,0.0,0.49247386253561876,0.49247386253561876
7640,0.21841436,0.0,0.45113005746733187,0.45113005746733187
7641,0.39453253,0.2536737955622149,0.4186619445093568,0.4186619445093568
7642,0.51025614,0.4664477074232936,0.3910282469909006,0.3910282469909006
7643,0.56563933,0.5914935829296386,0.3717947532085668,0.3717947532085668
7644,0.56048319,0.6124512228784099,0.36059099054007676,0.36059099054007676
7645,0.49555824,0.5336795068641116,0.3556686977802654,0.3556686977802654
7646,0.37315238,0.3715138690611915,0.35308313068480784,0.35308313068480784
7647,0.19853778,0.1973232237564322,0.35597009368371774,0.35597009368371774
7648,0.0,0.0,0.3667792516665148,0.3667792516665148
7649,0.0,0.0,0.36809634740401376,0.36809634740401376
7650,0.0,0.0,0.37201910023713886,0.37201910023713886
7651,0.0,0.0,0.37196250091967026,0.37196250091967026
7652,0.0,0.0,0.35270623262854295,0.35270623262854295
7653,0.0,0.0,0.3035182418933247,0.3035182418933247
7654,0.0,0.0,0.25303158046905366,0.25303158046905366
7655,0.0,0.0,0.23031927577409775,0.23031927577409775
7656,0.0,0.0,0.2338465225942816,0.2338465225942816
7657,0.0,0.0,0.24472907267829316,0.24472907267829316
7658,0.0,0.0,0.2645395438656812,0.2645395438656812
7659,0.0,0.0,0.30389166886602803,0.30389166886602803
7660,0.0,0.0,0.3613197080564879,0.3613197080564879
7661,0.0,0.0,0.4465028499292984,0.4465028499292984
7662,0.0,0.0,0.4930195222961412,0.4930195222961412
7663,0.0,0.0,0.48965226871266465,0.48965226871266465
