,district elec,district heat,heat,district biomethane
59,8.881784197001252e-16,-3.2734703836467816e-11,-3.495870259939693e-12,0.0
60,0.0,-2.3803181647963356e-13,-9.29034627006331e-12,0.0
61,-8.881784197001252e-16,-2.1806556560477475e-11,-3.7125857943465235e-12,0.0
62,-8.881784197001252e-16,2.333422344236169e-11,1.964650664376677e-12,0.0
63,0.0,-3.4720670782917296e-11,8.206768598029157e-12,0.0
64,0.0,-4.25544044446724e-11,8.665068662594422e-12,0.0
65,0.0,-3.9683811792201595e-12,-3.268496584496461e-13,0.0
66,0.0,-1.6431300764452317e-11,2.284394895468722e-12,0.0
67,0.0,-2.5714541607158026e-11,-2.042810365310288e-12,0.0
68,0.0,-3.703348738781642e-11,-2.8528290840768022e-12,0.0
69,0.0,-6.394884621840902e-14,4.39470682067622e-12,0.0
70,0.0,-7.680966973566683e-12,-6.430411758628907e-12,0.0
71,0.0,-3.1228353236656403e-12,6.59738930153253e-12,0.0
72,0.0,1.2612133559741778e-11,7.112532784958603e-12,0.0
73,0.0,7.86926079854311e-12,-3.481659405224491e-13,0.0
74,0.0,-4.2525982735242e-12,8.068212764555938e-12,0.0
75,0.0,-1.0800249583553523e-12,-5.289990667733946e-12,0.0
76,-9.71445146547012e-17,9.558742686266442e-13,1.730171561575844e-12,0.0
77,6.661338147750939e-16,2.3441248941935555e-11,-1.2892797940367018e-11,0.0
78,0.0,4.128830610738987e-11,-1.312372432948905e-11,0.0
79,-8.881784197001252e-16,3.285860472601598e-11,-9.35784782996052e-12,0.0
80,-8.881784197001252e-16,-2.008215815862968e-11,-1.007194327939942e-11,0.0
81,-4.440892098500626e-16,-2.984523739257838e-11,-1.2185807918285718e-11,0.0
82,0.0,-1.2235545909788925e-11,-1.1215917083973181e-11,0.0
83,0.0,3.675637572086998e-11,-1.1425527191022411e-11,0.0
84,0.0,4.476774506656511e-11,2.5863755581667647e-12,0.0
85,0.0,-2.758326900220709e-11,4.206412995699793e-12,0.0
86,0.0,-3.029754225281067e-11,-6.856737400084967e-12,0.0
87,0.0,-2.169286972275586e-11,5.343281372915953e-12,0.0
88,0.0,2.3657520387132536e-11,6.462386181738111e-12,0.0
89,0.0,3.3789859799071564e-11,1.9468870959826745e-12,0.0
90,0.0,3.143796334370563e-11,-1.8474111129762605e-12,0.0
91,0.0,3.864286668431305e-11,-2.8066438062523957e-12,0.0
92,0.0,3.211653165635653e-12,-1.8829382497642655e-12,0.0
93,0.0,3.377209623067756e-11,-2.1458390619955026e-12,0.0
94,0.0,1.5475620784854982e-11,-5.314859663485549e-12,0.0
95,0.0,1.7060131085600005e-11,-4.630962280316453e-12,0.0
96,0.0,-3.8043346251015464e-11,-1.34718902700115e-11,0.0
97,2.220446049250313e-16,8.619327473979865e-12,9.446665671930532e-12,0.0
98,4.440892098500626e-16,-2.5804247627547738e-11,-1.2111200931030908e-11,0.0
99,0.0,4.069455883382034e-11,1.681144112808397e-11,0.0
100,0.0,-1.2517986647253565e-11,-8.540723683836404e-12,0.0
101,0.0,-5.0384585392748704e-11,9.663381206337363e-13,0.0
102,0.0,2.76525469189437e-11,2.3945290195115376e-12,0.0
103,0.0,4.057021385506232e-11,-2.8180124900245573e-11,0.0
104,0.0,-3.1604940886609256e-11,8.874678769643651e-12,0.0
105,0.0,-2.4025226252888388e-11,1.4921397450962104e-12,0.0
106,-8.881784197001252e-16,-5.916156453622534e-11,1.0246026249660645e-11,0.0
107,0.0,-7.862155371185509e-12,-3.204547738278052e-12,0.0
108,-4.440892098500626e-16,-2.807398757909141e-11,1.7337242752546445e-12,0.0
109,-2.4424906541753444e-15,-2.09285921926039e-11,1.971756091734278e-11,0.0
110,0.0,4.397504582698275e-11,-1.3237411167210666e-11,0.0
111,8.881784197001252e-16,6.404210495247753e-11,1.779199010343291e-11,0.0
112,8.881784197001252e-16,5.4141580108080234e-11,2.6005864128819667e-12,0.0
113,0.0,-6.38040731359979e-11,1.935518412210513e-11,0.0
114,-8.881784197001252e-16,5.284572779373775e-11,5.17985654369113e-12,0.0
115,0.0,-3.539746273872879e-11,-1.3308465440786676e-11,0.0
116,0.0,-3.289990502253204e-11,1.0274447959091049e-11,0.0
117,-8.881784197001252e-16,3.717204322128964e-11,1.3095302620058646e-11,0.0
118,4.440892098500626e-16,-3.2725377963060964e-11,1.1400658195270807e-11,0.0
119,2.220446049250313e-16,5.626388244195368e-12,-1.715960706860642e-12,0.0
120,-8.881784197001252e-16,2.007283228522283e-13,1.7820411812863313e-11,0.0
121,-8.881784197001252e-16,6.294342824730847e-11,9.64917035162216e-12,0.0
122,-8.881784197001252e-16,2.7474023056583974e-11,-1.6655121726216748e-11,0.0
123,-8.881784197001252e-16,-9.281464485866309e-12,-1.9042545318370685e-11,0.0
124,0.0,-6.675726638150081e-11,-1.709565822238801e-11,0.0
125,0.0,5.846167994150164e-11,3.058175934711471e-11,0.0
126,0.0,5.185363249893271e-11,-2.0023094293719623e-11,0.0
127,0.0,-6.991207612827566e-11,2.4584778657299466e-11,0.0
128,-1.7763568394002505e-15,-3.392308656202658e-11,3.136335635645082e-11,0.0
129,0.0,-2.3009150140751444e-11,1.9916512883355608e-11,0.0
130,0.0,1.1217693440812582e-11,8.114398042380344e-12,0.0
131,0.0,-4.9965365178650245e-11,2.1678658868040657e-11,0.0
132,-1.7763568394002505e-15,-5.363887112252996e-11,-5.6346038945775945e-12,0.0
133,0.0,-2.965272472010838e-11,-1.6839862837514374e-11,0.0
134,0.0,-3.002220694270363e-11,2.447819724693545e-11,0.0
135,-1.7763568394002505e-15,3.696776218475861e-11,-2.55298004958604e-11,0.0
136,0.0,-1.617372902273928e-11,-2.3348434297076892e-11,0.0
