,battery storage,TTES storage,PTES storage
39,4.16665e-05,6.832608739987459e-05,5.2981286e-06
40,4.16665e-05,6.933498160968072e-05,5.376359e-06
41,4.16665e-05,7.012180575343667e-05,5.437371e-06
42,4.16665e-05,7.18185843013381e-05,5.5689416e-06
43,4.16665e-05,7.32069556969502e-05,5.6766e-06
44,4.16665e-05,7.395787477765599e-05,5.734829e-06
45,4.16665e-05,7.264008706900584e-05,5.6326458e-06
46,4.16665e-05,7.120695064484402e-05,5.5215155e-06
47,4.16665e-05,7.217981291858562e-05,5.596953e-06
48,4.16665e-05,7.226179403133331e-05,5.6033077e-06
49,4.16665e-05,7.278446855929251e-05,5.6438394e-06
50,4.16665e-05,7.323973122564745e-05,5.6791414e-06
51,4.16665e-05,7.407451336881315e-05,5.743871e-06
52,4.16665e-05,7.460670337284572e-05,5.785138e-06
53,4.16665e-05,7.420570006561144e-05,5.754044e-06
54,4.16665e-05,7.448498986111606e-05,5.775701e-06
55,4.16665e-05,7.483494792559232e-05,5.8028368e-06
56,4.16665e-05,7.4921263866329e-05,5.809532e-06
57,4.16665e-05,7.446105315241601e-05,5.7738444e-06
58,4.16665e-05,7.297490495377425e-05,5.6586055e-06
59,4.16665e-05,7.241437997654544e-05,5.6151425e-06
60,4.16665e-05,7.219497424379593e-05,5.5981295e-06
61,4.16665e-05,7.290243931709995e-05,5.6529866e-06
62,4.16665e-05,7.299131386362527e-05,5.659877e-06
63,4.16665e-05,7.351779458201369e-05,5.7007037e-06
64,4.16665e-05,7.38633120909891e-05,5.7274933e-06
65,4.16665e-05,7.404740483475527e-05,5.7417697e-06
66,4.16665e-05,7.432483382605002e-05,5.7632815e-06
67,4.16665e-05,7.433870527561482e-05,5.764357e-06
68,4.16665e-05,7.429203715185043e-05,5.7607394e-06
69,4.16665e-05,7.360041005983303e-05,5.707108e-06
70,4.16665e-05,7.44811836706867e-05,5.775406e-06
71,4.16665e-05,7.460482142313338e-05,5.784993e-06
72,4.16665e-05,7.554490816817787e-05,5.8578885e-06
73,4.16665e-05,7.580781019933392e-05,5.8782753e-06
74,4.16665e-05,7.574225914193958e-05,5.873191e-06
75,4.16665e-05,7.610414326976121e-05,5.9012523e-06
76,4.16665e-05,7.679585494378817e-05,5.9548884e-06
77,4.16665e-05,7.822715170924244e-05,6.065874e-06
78,4.16665e-05,7.87952044853204e-05,6.109923e-06
79,4.16665e-05,7.947361563834707e-05,6.1625283e-06
80,4.16665e-05,7.911991481994869e-05,6.1351025e-06
81,4.16665e-05,7.784695557635524e-05,6.0363914e-06
82,4.16665e-05,7.386775264648995e-05,5.727839e-06
83,4.16665e-05,7.039735279501917e-05,5.458737e-06
84,4.16665e-05,6.593579981024341e-05,5.112781e-06
85,4.16665e-05,6.337721516712786e-05,4.9143837e-06
86,4.16665e-05,6.423470757985548e-05,4.9808746e-06
87,4.16665e-05,6.426181611391335e-05,4.982976e-06
88,4.16665e-05,6.533057324097213e-05,5.0658496e-06
89,4.16665e-05,6.739297867061729e-05,5.225773e-06
90,4.16665e-05,7.001212403256426e-05,5.4288644e-06
91,4.16665e-05,7.244529470103278e-05,5.617539e-06
92,4.16665e-05,7.542573211673451e-05,5.848647e-06
93,4.16665e-05,7.92567262203813e-05,6.1457104e-06
94,4.16665e-05,7.994148102412366e-05,6.198806e-06
95,4.16665e-05,8.208525434694722e-05,6.365039e-06
96,4.16665e-05,8.384754166123821e-05,6.501689e-06
97,4.16665e-05,8.567982058842443e-05,6.6437683e-06
98,4.16665e-05,8.718423850112698e-05,6.760423e-06
99,4.16665e-05,8.79490501768999e-05,6.8197287e-06
100,4.16665e-05,8.807076368862959e-05,6.829166e-06
101,4.16665e-05,8.828133060138213e-05,6.845493e-06
102,4.16665e-05,8.806759186327174e-05,6.8289205e-06
103,4.16665e-05,8.80102241153005e-05,6.824472e-06
104,4.16665e-05,8.798622397009324e-05,6.8226104e-06
105,4.16665e-05,8.845535808601286e-05,6.8589893e-06
106,4.16665e-05,9.005624178059711e-05,6.9831244e-06
107,4.16665e-05,9.040173814407004e-05,7.009915e-06
108,4.16665e-05,9.046925573318622e-05,7.0151486e-06
109,4.16665e-05,9.070942634927816e-05,7.033773e-06
110,4.16665e-05,9.078132105738806e-05,7.0393476e-06
111,4.16665e-05,9.111926847650942e-05,7.065552e-06
112,4.16665e-05,9.21665417731448e-05,7.14676e-06
113,4.16665e-05,9.293078252035332e-05,7.2060207e-06
114,4.16665e-05,9.351207238092444e-05,7.2510957e-06
115,4.16665e-05,9.350520009264928e-05,7.2505595e-06
116,4.16665e-05,9.379768468164228e-05,7.273242e-06
117,4.16665e-05,9.352972887541616e-05,7.2524667e-06
118,4.16665e-05,9.358079526367664e-05,7.2564244e-06
119,4.16665e-05,9.359344027410297e-05,7.2574053e-06
120,4.16665e-05,9.369178800569688e-05,7.265031e-06
121,4.16665e-05,9.396541080656226e-05,7.2862476e-06
122,4.16665e-05,9.401083134568582e-05,7.2897697e-06
123,4.16665e-05,9.396352885685004e-05,7.286102e-06
124,4.16665e-05,9.386014849568836e-05,7.2780854e-06
125,4.16665e-05,9.365268997178656e-05,7.261999e-06
126,4.16665e-05,9.33670776710686e-05,7.239851e-06
