,biomethane boiler,biomethane CHP,large scale heat pump,TTES charge,TTES discharge,selling,heating_grid_92MW
7565,0.0,0.0,7.42972648832232,0.0,23.389861714967594,0.0,43.46708946976196
7566,0.0,0.0,0.0,0.0,47.11127639883034,0.0,47.111276398830334
7567,0.0,0.0,0.07856159410310708,0.0,45.351337889913474,0.0,45.56538338071049
7568,0.0,0.0,3.0794779616667345,0.0,33.69388890762889,0.0,42.09294264743744
7569,0.0,0.0,11.257044084152442,0.0,8.074825021157896,0.0,39.03766919817939
7570,0.0,0.0,12.898961106638218,1.1434923863669795,0.0,0.0,37.16559841656116
7571,0.0,0.0,13.346771101071468,6.466171334148061,0.0,0.0,35.10462913765727
7572,0.0,0.0,12.982518037977693,9.336226378914734,0.0,0.0,31.604461521486947
7573,0.0,0.0,12.824543026288975,10.511889722842227,0.0,0.0,31.038580294854
7574,0.0,3.573726637985534,13.629276870809514,13.765486275328655,0.0,0.0,31.61103293737801
7575,0.0,7.80908251270154,13.629276870809514,13.673306545063667,0.0,0.0,32.52169293382728
7576,0.0,4.283361431970084,10.414811388664313,0.0,0.0,-1.7763568394002505e-15,33.832395735647346
7577,0.0,0.0,8.572965972917176,0.0,10.66876791886402,0.0,35.36454432417631
7578,0.0,0.0,8.572965972917176,0.0,10.373385407908916,0.0,34.78702019458623
7579,0.0,0.0,8.572965972917176,0.0,10.880023193293777,0.0,35.361225267074765
7580,0.0,0.0,8.572965972917176,0.0,9.803490466533418,0.0,34.10329059497448
7581,0.0,0.0,8.572965972917176,0.0,6.745095904562941,0.0,31.02942261110593
7582,0.0,0.0,8.572965972917176,0.0,1.0758432219996124,0.0,25.109106270702895
7583,0.0,0.0,8.572965972917176,1.3157193514471395,0.0,0.0,22.76852679815259
7584,0.0,0.0,8.572965972917176,0.0,1.8390350284292154,0.0,25.913074164191457
7585,0.0,0.0,8.572965972917176,0.0,0.35803360010727303,0.0,24.41677196399014
7586,0.0,0.0,8.572965972917176,0.0,3.4934801493608063,0.0,27.51656215294075
7587,0.0,0.0,8.572965972917176,0.0,8.801675444041582,0.0,32.840030960469655
7588,0.0,0.0,8.572965972917176,0.0,16.409506606486126,0.0,40.39191624363603
7589,0.0,0.0,8.177566122485707,0.0,16.118681214327847,0.0,38.87425000960719
7590,0.0,0.0,0.0,0.0,41.15737227690162,0.0,41.15737227690162
7591,0.0,0.0,0.7359012774967378,0.0,36.68510582344882,0.0,38.70538444247334
7592,0.0,0.0,2.7826008269924696,0.0,29.307007482632628,0.0,36.91075783560454
7593,0.0,0.0,10.960166949478177,0.17628073604600658,0.0,0.0,34.417591795576406
7594,0.0,0.0,13.629276870809514,17.470861462994954,0.0,0.0,33.19457721127438
