,biomass boiler,biomethane boiler,biomethane CHP,large scale heat pump,geothermal plant,TTES charge,TTES discharge,elec boiler,PTES charge,PTES discharge,selling
18,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
19,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
20,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
21,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
22,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
23,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
24,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
25,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
26,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
27,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
28,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
29,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
30,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
31,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
32,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
33,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
34,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
35,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
36,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
37,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
38,4.161,1.1236000000000002,3.2007518829,5.964573291438282,155.75,1.0,1.0,1.0494,1.0,1.0,-49.73
