,heat demand
352,89.0011526
353,88.9770806
354,88.2425312
355,86.7601909
356,83.3137618
357,75.8972963
358,66.7855976
359,63.6775622
360,60.5029546
361,60.2611487
362,67.0198392
363,79.4967621
364,94.3262871
365,92.9231352
366,98.1970561
367,95.1758743
368,90.5171495
369,86.6020362
370,84.6927329
371,80.6031193
372,78.6182582
373,79.8435911
374,81.4830362
375,81.1304654
376,86.3241351
377,88.0986416
378,87.1412042
379,87.1063384
380,84.5530051
381,74.6277617
382,66.6816211
383,60.1164754
384,54.1242123
385,55.7850093
386,59.8685852
387,65.188902
388,78.617195
389,94.3367307
390,102.008536
391,98.5387481
392,94.2499986
393,90.2343486
394,85.4234827
395,81.1009489
396,79.7529276
397,78.6168797
398,79.2190617
399,79.801106
400,82.1322376
401,82.5353794
402,81.5786143
403,78.926525
404,75.540875
405,66.6355502
406,57.1503577
407,53.5224539
408,53.609127
409,55.233867
410,58.552236
411,63.7554622
412,76.618438
413,92.2699191
414,100.990353
415,97.5955732
416,93.1311591
417,88.6645107
418,83.8248211
419,80.1367475
420,78.1439663
421,77.0330252
422,77.7570312
423,78.7312956
424,79.2591536
425,78.8457385
426,77.9110793
427,77.206365
428,72.9511217
429,64.3756513
430,55.3640011
431,52.3492773
432,54.0982214
433,55.7382475
434,59.0830644
435,64.3322365
436,77.3089074
437,93.129958
438,101.962967
439,98.5274465
440,94.0191882
441,89.5122607
442,84.6286569
443,80.9060283
444,78.8952049
445,77.7745965
446,78.5068014
447,79.4920935
448,80.034119
449,79.6255914
450,78.6861961
451,77.97597
452,73.6827067
453,65.0233569
454,55.9008678
455,52.8370658
456,54.855826
457,56.5178758
458,59.914329
459,65.2387144
460,78.4011663
461,94.4085569
462,103.328615
463,99.8562179
464,95.2880864
465,90.717138
466,85.764531
467,81.9909199
468,79.9515908
469,78.8146705
470,79.5553622
471,80.5520051
472,81.0901486
473,80.6652118
474,79.7076791
475,78.9863152
476,74.6316853
477,65.857639
478,56.6414696
479,53.5632246
480,58.5157015
481,60.6084011
482,62.9321473
483,68.3831921
484,82.5942876
485,103.052191
486,113.057414
487,108.839996
488,103.600352
489,98.9598647
490,93.6092009
491,88.9361521
492,86.4353785
493,85.0591727
494,85.7140452
495,86.7951157
496,87.5423007
497,87.6938464
498,87.1116268
499,85.5901444
500,81.3328807
501,71.9919007
502,61.0881165
503,57.2829466
504,54.2759731
505,56.7611992
506,59.8464046
507,65.1626726
508,78.9841197
509,98.7384173
510,104.124389
511,99.9895678
512,94.0228516
513,90.2638826
514,87.2040213
515,81.2441476
516,77.3060798
