time,south45-60deg-eta_c,south45-60deg-heat,south45-60deg-ira,south45-70deg-eta_c,south45-70deg-heat,south45-70deg-ira,south45-80deg-eta_c,south45-80deg-heat,south45-80deg-ira,south45-90deg-eta_c,south45-90deg-heat,south45-90deg-ira
2022-09-11 05:00:00,0.0,0.0,0.5191775560379028,0.0,0.0,0.5191775560379028,0.0,0.0,0.5191775560379028,0.0,0.0,0.5191775560379028
2022-09-11 06:00:00,0.0,0.0,21.968185834609937,0.0,0.0,21.968185834609937,0.0,0.0,21.968185834609937,0.0,0.0,21.968185834609937
2022-09-11 07:00:00,0.0,0.0,20.13678561325367,0.0,0.0,20.13678561325367,0.0,0.0,20.13678561325367,0.0,0.0,20.13678561325367
2022-09-11 08:00:00,0.0,0.0,35.13495638422956,0.0,0.0,35.13495638422956,0.0,0.0,35.13495638422956,0.0,0.0,35.13495638422956
2022-09-11 09:00:00,0.0,0.0,73.0512548103909,0.0,0.0,73.0512548103909,0.0,0.0,73.0512548103909,0.0,0.0,73.0512548103909
2022-09-11 10:00:00,0.0,0.0,126.63003426299665,0.0,0.0,126.63003426299665,0.0,0.0,126.63003426299665,0.0,0.0,126.63003426299665
2022-09-11 11:00:00,0.35203518094561476,130.2576868458898,370.01326542421066,0.22803656495032473,84.37655403338975,370.01326542421066,0.09538961037092678,35.295421220889764,370.01326542421066,0.0,0.0,370.01326542421066
2022-09-11 12:00:00,0.3830912627243297,152.01667140318173,396.815814388782,0.2675257509846181,106.15844874693173,396.815814388782,0.14389604451282664,57.10022609068172,396.815814388782,0.012202143308955277,4.842003434431715,396.815814388782
2022-09-11 13:00:00,0.4917076042310332,255.80754495219736,520.2432151771318,0.4042645601633926,210.31589456157238,520.2432151771318,0.3106705468824187,161.62424417094735,520.2432151771318,0.2109255643881117,109.73259378032236,520.2432151771318
2022-09-11 14:00:00,0.501631937674185,264.06293572937295,526.4077422057694,0.41567451585864,218.81428338562299,526.4077422057694,0.32363815609550467,170.36563104187297,526.4077422057694,0.22552285838477898,118.71697869812297,526.4077422057694
