time,x,y,lon,lat,temperature,T_supply
2022-01-05 04:00:00,11.75,48.25,11.75,48.25,3.3501282,70.0
2022-01-05 05:00:00,11.75,48.25,11.75,48.25,3.2505493,70.0
2022-01-05 06:00:00,11.75,48.25,11.75,48.25,3.3516235,70.0
2022-01-05 07:00:00,11.75,48.25,11.75,48.25,3.3787537,70.0
2022-01-05 08:00:00,11.75,48.25,11.75,48.25,3.3901062,70.0
2022-01-05 09:00:00,11.75,48.25,11.75,48.25,3.1682434,70.0
2022-01-05 10:00:00,11.75,48.25,11.75,48.25,2.4111633,70.0
2022-01-05 11:00:00,11.75,48.25,11.75,48.25,2.2477722,70.0
2022-01-05 12:00:00,11.75,48.25,11.75,48.25,2.2158508,70.0
2022-01-05 13:00:00,11.75,48.25,11.75,48.25,2.1022644,70.0
2022-01-05 14:00:00,11.75,48.25,11.75,48.25,2.0682678,70.0
2022-01-05 15:00:00,11.75,48.25,11.75,48.25,1.9084473,70.0
2022-01-05 16:00:00,11.75,48.25,11.75,48.25,1.4131775,70.0
2022-01-05 17:00:00,11.75,48.25,11.75,48.25,1.0517578,70.0
2022-01-05 18:00:00,11.75,48.25,11.75,48.25,0.77685547,70.0
2022-01-05 19:00:00,11.75,48.25,11.75,48.25,0.78012085,70.0
2022-01-05 20:00:00,11.75,48.25,11.75,48.25,0.64178467,70.0
2022-01-05 21:00:00,11.75,48.25,11.75,48.25,0.76849365,70.0
2022-01-05 22:00:00,11.75,48.25,11.75,48.25,0.74435425,70.0
2022-01-05 23:00:00,11.75,48.25,11.75,48.25,0.7383728,70.0
2022-01-06 00:00:00,11.75,48.25,11.75,48.25,0.691864,70.0
2022-01-06 01:00:00,11.75,48.25,11.75,48.25,0.5624695,70.0
2022-01-06 02:00:00,11.75,48.25,11.75,48.25,0.5409851,70.0
2022-01-06 03:00:00,11.75,48.25,11.75,48.25,0.5633545,70.0
2022-01-06 04:00:00,11.75,48.25,11.75,48.25,0.61224365,70.0
2022-01-06 05:00:00,11.75,48.25,11.75,48.25,0.71035767,70.0
2022-01-06 06:00:00,11.75,48.25,11.75,48.25,0.84542847,70.0
2022-01-06 07:00:00,11.75,48.25,11.75,48.25,0.8126221,70.0
2022-01-06 08:00:00,11.75,48.25,11.75,48.25,0.91638184,70.0
2022-01-06 09:00:00,11.75,48.25,11.75,48.25,1.1540527,70.0
2022-01-06 10:00:00,11.75,48.25,11.75,48.25,1.6248779,70.0
2022-01-06 11:00:00,11.75,48.25,11.75,48.25,1.7936401,70.0
2022-01-06 12:00:00,11.75,48.25,11.75,48.25,2.2459717,70.0
2022-01-06 13:00:00,11.75,48.25,11.75,48.25,2.5179138,70.0
2022-01-06 14:00:00,11.75,48.25,11.75,48.25,2.3825378,70.0
2022-01-06 15:00:00,11.75,48.25,11.75,48.25,2.1669617,70.0
2022-01-06 16:00:00,11.75,48.25,11.75,48.25,0.2001648,70.0
2022-01-06 17:00:00,11.75,48.25,11.75,48.25,-0.44628906,70.0
2022-01-06 18:00:00,11.75,48.25,11.75,48.25,-1.0271301,70.0
2022-01-06 19:00:00,11.75,48.25,11.75,48.25,-0.9821167,70.0
2022-01-06 20:00:00,11.75,48.25,11.75,48.25,-0.5348511,70.0
2022-01-06 21:00:00,11.75,48.25,11.75,48.25,-0.25427246,70.0
2022-01-06 22:00:00,11.75,48.25,11.75,48.25,-0.8395996,70.0
2022-01-06 23:00:00,11.75,48.25,11.75,48.25,-0.99823,70.0
2022-01-07 00:00:00,11.75,48.25,11.75,48.25,-1.715332,70.0
2022-01-07 01:00:00,11.75,48.25,11.75,48.25,-1.93927,70.0
2022-01-07 02:00:00,11.75,48.25,11.75,48.25,-1.9082642,70.0
2022-01-07 03:00:00,11.75,48.25,11.75,48.25,-2.1775208,70.0
2022-01-07 04:00:00,11.75,48.25,11.75,48.25,-2.8687134,70.0
2022-01-07 05:00:00,11.75,48.25,11.75,48.25,-3.5992432,70.0
2022-01-07 06:00:00,11.75,48.25,11.75,48.25,-2.9918518,70.0
2022-01-07 07:00:00,11.75,48.25,11.75,48.25,-2.6987305,70.0
2022-01-07 08:00:00,11.75,48.25,11.75,48.25,-2.0990906,70.0
2022-01-07 09:00:00,11.75,48.25,11.75,48.25,-1.364685,70.0
2022-01-07 10:00:00,11.75,48.25,11.75,48.25,-0.37771606,70.0
2022-01-07 11:00:00,11.75,48.25,11.75,48.25,-0.17315674,70.0
2022-01-07 12:00:00,11.75,48.25,11.75,48.25,0.32809448,70.0
2022-01-07 13:00:00,11.75,48.25,11.75,48.25,0.84780884,70.0
2022-01-07 14:00:00,11.75,48.25,11.75,48.25,0.92593384,70.0
2022-01-07 15:00:00,11.75,48.25,11.75,48.25,0.18527222,70.0
2022-01-07 16:00:00,11.75,48.25,11.75,48.25,0.15396118,70.0
2022-01-07 17:00:00,11.75,48.25,11.75,48.25,0.8767395,70.0
2022-01-07 18:00:00,11.75,48.25,11.75,48.25,1.3335571,70.0
2022-01-07 19:00:00,11.75,48.25,11.75,48.25,1.3219299,70.0
2022-01-07 20:00:00,11.75,48.25,11.75,48.25,1.1626892,70.0
2022-01-07 21:00:00,11.75,48.25,11.75,48.25,1.1400452,70.0
2022-01-07 22:00:00,11.75,48.25,11.75,48.25,0.8937378,70.0
2022-01-07 23:00:00,11.75,48.25,11.75,48.25,1.0469971,70.0
2022-01-08 00:00:00,11.75,48.25,11.75,48.25,0.86242676,70.0
2022-01-08 01:00:00,11.75,48.25,11.75,48.25,0.54278564,70.0
2022-01-08 02:00:00,11.75,48.25,11.75,48.25,-0.72509766,70.0
