,TTES,PTES,elec market,curtailment
82,7.386775264648995e-05,3.410227913846288e-05,1.0,1.0
83,7.039735279501917e-05,3.250011120703387e-05,1.0,1.0
84,6.593579981024341e-05,3.044036091239572e-05,1.0,1.0
85,6.337721516712786e-05,2.9259147668824043e-05,1.0,1.0
86,6.423470757985548e-05,2.9655023332699952e-05,1.0,1.0
87,6.426181611391335e-05,2.966753843925667e-05,1.0,1.0
88,6.533057324097213e-05,3.016094797958214e-05,1.0,1.0
89,6.739297867061729e-05,3.1113091819601664e-05,1.0,1.0
90,7.001212403256426e-05,3.232226392836717e-05,1.0,1.0
91,7.244529470103278e-05,3.3445577720310145e-05,1.0,1.0
92,7.542573211673451e-05,3.482154632722578e-05,1.0,1.0
93,7.92567262203813e-05,3.659018860507605e-05,1.0,1.0
94,7.994148102412366e-05,3.690631707280378e-05,1.0,1.0
95,8.208525434694722e-05,3.789602575684065e-05,1.0,1.0
96,8.384754166123821e-05,3.870961506693832e-05,1.0,1.0
97,8.567982058842443e-05,3.955551717165596e-05,1.0,1.0
98,8.718423850112698e-05,4.025005677468697e-05,1.0,1.0
99,8.79490501768999e-05,4.06031448316688e-05,1.0,1.0
100,8.807076368862959e-05,4.0659335902917336e-05,1.0,1.0
101,8.828133060138213e-05,4.07565476276381e-05,1.0,1.0
102,8.806759186327174e-05,4.065787157687714e-05,1.0,1.0
103,8.80102241153005e-05,4.063138679989708e-05,1.0,1.0
104,8.798622397009324e-05,4.062030673285972e-05,1.0,1.0
105,8.845535808601286e-05,4.083689031637596e-05,1.0,1.0
106,9.005624178059711e-05,4.157596495537568e-05,1.0,1.0
107,9.040173814407004e-05,4.173546910984569e-05,1.0,1.0
108,9.046925573318622e-05,4.176663973015432e-05,1.0,1.0
109,9.070942634927816e-05,4.187751849791676e-05,1.0,1.0
110,9.078132105738806e-05,4.191070988816083e-05,1.0,1.0
111,9.111926847650942e-05,4.20667289466552e-05,1.0,1.0
112,9.21665417731448e-05,4.255022011860186e-05,1.0,1.0
113,9.293078252035332e-05,4.290304459689646e-05,1.0,1.0
