,biomass boiler,biomethane boiler,biomethane CHP,biomethane CHP generator,biomethane CHP boiler,large scale heat pump,geothermal plant,elec boiler,selling,heating grid
107,1.14,1.06,0.43,0.43,0.43,2.705695858879425,25.0,0.99,0.0,0.980919710112413
108,1.14,1.06,0.43,0.43,0.43,2.699443931468001,25.0,0.99,0.0,0.9803152185070725
109,1.14,1.06,0.43,0.43,0.43,2.6971748100885025,25.0,0.99,0.0,0.9800417866389914
110,1.14,1.06,0.43,0.43,0.43,2.690381191043189,25.0,0.99,0.0,0.9798783877671268
111,1.14,1.06,0.43,0.43,0.43,2.689815985224707,25.0,0.99,0.0,0.9800229874256042
112,1.14,1.06,0.43,0.43,0.43,2.6796666486240945,25.0,0.99,0.0,0.9805899216001144
113,1.14,1.06,0.43,0.43,0.43,2.6511592135252227,25.0,0.99,0.0,0.9806171161857933
114,1.14,1.06,0.43,0.43,0.43,2.631255679643905,25.0,0.99,0.0,0.9808083027061286
115,1.14,1.06,0.43,0.43,0.43,2.6164458406367905,25.0,0.99,0.0,0.980793692053213
116,1.14,1.06,0.43,0.43,0.43,2.6164458406367905,25.0,0.99,0.0,0.9797269831259979
117,1.14,1.06,0.43,0.43,0.43,2.608806121473192,25.0,0.99,0.0,0.9764106670569587
118,1.14,1.06,0.43,0.43,0.43,2.6164458406367905,25.0,0.99,0.0,0.9718608720882534
119,1.14,1.06,0.43,0.43,0.43,2.61589925524059,25.0,0.99,0.0,0.9693275515833838
120,1.14,1.06,0.43,0.43,0.43,2.6148064962000155,25.0,0.99,0.0,0.9790316557412315
121,1.14,1.06,0.43,0.43,0.43,2.613168386414915,25.0,0.99,0.0,0.9796452497346649
122,1.14,1.06,0.43,0.43,0.43,2.6060841512920474,25.0,0.99,0.0,0.980816727965285
123,1.14,1.06,0.43,0.43,0.43,2.6044526079993537,25.0,0.99,0.0,0.982386820034326
124,1.14,1.06,0.43,0.43,0.43,2.6066282720855005,25.0,0.99,0.0,0.9853505454852699
125,1.14,1.06,0.43,0.43,0.43,2.60935092557394,25.0,0.99,0.0,0.9877810786073984
126,1.14,1.06,0.43,0.43,0.43,2.6137142858934954,25.0,0.99,0.0,0.9887902080232948
127,1.14,1.06,0.43,0.43,0.43,2.619728237815288,25.0,0.99,0.0,0.9884132229311499
128,1.14,1.06,0.43,0.43,0.43,2.618633555667713,25.0,0.99,0.0,0.9878595804313747
129,1.14,1.06,0.43,0.43,0.43,2.6241124714884494,25.0,0.99,0.0,0.9872429923012046
130,1.14,1.06,0.43,0.43,0.43,2.6395269120107563,25.0,0.99,0.0,0.9865007487838583
131,1.14,1.06,0.43,0.43,0.43,2.665087648356633,25.0,0.99,0.0,0.9858774485792228
132,1.14,1.06,0.43,0.43,0.43,2.6723651965263846,25.0,0.99,0.0,0.9855142351066489
133,1.14,1.06,0.43,0.43,0.43,2.699443931468001,25.0,0.99,0.0,0.9853025404075699
134,1.14,1.06,0.43,0.43,0.43,2.713106957407976,25.0,0.99,0.0,0.9854363769236409
135,1.14,1.06,0.43,0.43,0.43,2.707973601862492,25.0,0.99,0.0,0.9856126097149371
136,1.14,1.06,0.43,0.43,0.43,2.69887643603891,25.0,0.99,0.0,0.9856853620926004
137,1.14,1.06,0.43,0.43,0.43,2.5903638816120997,25.0,0.99,0.0,0.9855872019272928
138,1.14,1.06,0.43,0.43,0.43,2.5603288745032904,25.0,0.99,0.0,0.9854019790360928
139,1.14,1.06,0.43,0.43,0.43,2.531762197319229,25.0,0.99,0.0,0.9852645945457063
140,1.14,1.06,0.43,0.43,0.43,2.534391107247177,25.0,0.99,0.0,0.9843913120078697
141,1.14,1.06,0.43,0.43,0.43,2.554478436362713,25.0,0.99,0.0,0.9823028823689716
142,1.14,1.06,0.43,0.43,0.43,2.5672638098561964,25.0,0.99,0.0,0.9795249196289957
143,1.14,1.06,0.43,0.43,0.43,2.534391107247177,25.0,0.99,0.0,0.9784653106599683
144,1.14,1.06,0.43,0.43,0.43,2.517100736950694,25.0,0.99,0.0,0.9817756632889445
145,1.14,1.06,0.43,0.43,0.43,2.482943485921173,25.0,0.99,0.0,0.9824042192674808
