,dec air heat pump,dec pellet boiler,dec ground heat pump
207,0.52218123,0.52218123,0.52218123
208,0.55573064,0.55573064,0.55573064
209,0.5667165,0.5667165,0.5667165
210,0.56008324,0.56008324,0.56008324
211,0.55987918,0.55987918,0.55987918
212,0.54353014,0.54353014,0.54353014
213,0.47948197,0.47948197,0.47948197
214,0.43114072,0.43114072,0.43114072
215,0.39028244,0.39028244,0.39028244
216,0.39334992,0.39334992,0.39334992
217,0.40534336,0.40534336,0.40534336
218,0.43559639,0.43559639,0.43559639
219,0.47443244,0.47443244,0.47443244
220,0.57248371,0.57248371,0.57248371
221,0.68354111,0.68354111,0.68354111
222,0.73568757,0.73568757,0.73568757
223,0.71149629,0.71149629,0.71149629
224,0.68067431,0.68067431,0.68067431
225,0.65150695,0.65150695,0.65150695
226,0.61650681,0.61650681,0.61650681
227,0.58508206,0.58508206,0.58508206
228,0.57538342,0.57538342,0.57538342
229,0.56706902,0.56706902,0.56706902
230,0.57125728,0.57125728,0.57125728
231,0.57518541,0.57518541,0.57518541
232,0.59142691,0.59142691,0.59142691
233,0.59354231,0.59354231,0.59354231
234,0.58613808,0.58613808,0.58613808
235,0.56638478,0.56638478,0.56638478
236,0.541844,0.541844,0.541844
237,0.47767954,0.47767954,0.47767954
238,0.41178607,0.41178607,0.41178607
239,0.38786921,0.38786921,0.38786921
240,0.40463738,0.40463738,0.40463738
241,0.41681366,0.41681366,0.41681366
242,0.44231226,0.44231226,0.44231226
243,0.48174735,0.48174735,0.48174735
244,0.5792212,0.5792212,0.5792212
245,0.69404903,0.69404903,0.69404903
246,0.75639495,0.75639495,0.75639495
247,0.73183483,0.73183483,0.73183483
248,0.69844795,0.69844795,0.69844795
249,0.66464985,0.66464985,0.66464985
250,0.62806376,0.62806376,0.62806376
251,0.60033478,0.60033478,0.60033478
252,0.58526161,0.58526161,0.58526161
253,0.57681848,0.57681848,0.57681848
254,0.58211576,0.58211576,0.58211576
255,0.58923808,0.58923808,0.58923808
256,0.59214006,0.59214006,0.59214006
257,0.58801222,0.58801222,0.58801222
258,0.58048947,0.58048947,0.58048947
259,0.57505826,0.57505826,0.57505826
260,0.54282364,0.54282364,0.54282364
261,0.47871766,0.47871766,0.47871766
262,0.41391527,0.41391527,0.41391527
263,0.3938345,0.3938345,0.3938345
264,0.45932944,0.45932944,0.45932944
265,0.46899082,0.46899082,0.46899082
