,biomethane boiler,large scale heat pump,TTES charge,TTES discharge,heating grid
79,-0.0,-34.431245260718335,-0.0,-0.0,-33.618028420580686
80,-0.0,-31.611424469746737,-0.0,-0.0,-30.796401275661403
81,-0.0,-29.39892649683923,-0.0,-0.0,-28.58222895478004
82,-0.0,-27.514640662428885,-0.0,-0.0,-26.696291230347494
83,-0.0,-25.19700812227655,-0.0,-0.0,-25.38564990162907
84,-0.0,-34.49501112537625,-12.782992048994592,-0.0,-24.612291467301045
85,-0.0,-35.99187416368425,-12.782992048994592,-0.0,-24.27531483588709
86,-0.0,-37.16609908264786,-12.782992048994592,-0.0,-24.086471554915818
87,-0.0,-37.87417471045991,-12.782992048994592,-0.0,-24.270318044483158
88,-0.0,-38.594192686182446,-12.782992048994592,-0.0,-24.991136017021162
89,-0.0,-38.652992616482265,-12.782992048994592,-0.0,-25.049999171488384
90,-0.0,-38.911354854158475,-12.782992048994592,-0.0,-25.30863562693796
91,-0.0,-38.9002055023789,-12.782992048994592,-0.0,-25.297474550418546
92,-0.0,-24.81635991656436,-0.01678885048443135,-0.0,-23.97836827661564
93,-0.0,-21.465663100827857,-0.017641583149611506,-0.0,-20.622216010295208
94,-0.0,-18.10166776539919,-0.017794001283448324,-0.0,-17.251556196105756
95,-0.0,-16.622964758530223,-0.01827117907694742,-0.0,-15.768582293213711
96,-0.0,-27.39854025454112,-0.018663442949758746,-0.0,-26.56139997030519
97,-0.0,-28.614650244036852,-0.01907128596781149,-0.0,-27.77820540465164
98,-0.0,-30.903082350681004,-0.01940615111524835,-0.0,-30.068130244926355
99,-0.0,-35.3795250145307,-0.019576388740887296,-0.0,-34.54726055863115
100,-0.0,-41.822627616621276,-0.019603480796774875,-0.0,-40.99333117969647
101,-0.0,-51.12965323398134,-0.0,-0.06820509485486781,-50.39113705967107
102,-0.0,-51.05412525292106,-0.0,-5.168522060198747,-55.417095646481606
103,-0.0,-51.15125732419338,-0.0,-4.783518410589423,-55.12916290541533
104,-0.0,-51.18368403978943,-0.0,-0.11330043240005239,-50.49028856061525
105,-0.0,-50.94104703904666,-3.2751322506673333,-0.0,-46.858218609072466
106,-0.0,-50.817623234660324,-6.247652493791229,-0.0,-43.76128809504882
107,-0.0,-43.16968434349778,-0.7460919354757607,-0.0,-41.61413796681312
108,-0.0,-40.742619351397956,-0.020137355941358237,-0.0,-40.336226955108515
