,dec air heat pump,dec pellet boiler,dec ground heat pump
174,2.6351573,0.9,2.9412305
175,2.6539948,0.9,2.9411643
176,2.675529,0.9,2.9409125
177,2.6940665,0.9,2.9408355
178,2.6883745,0.9,2.9405942
179,2.6919708,0.9,2.9405286
180,2.7050881,0.9,2.940279
181,2.698072,0.9,2.9402127
182,2.6983442,0.9,2.9399638
183,2.6859097,0.9,2.9398975
184,2.6388764,0.9,2.9396482
185,2.5700674,0.9,2.939586
186,2.5697536,0.9,2.939333
187,2.6104045,0.9,2.9390864
188,2.6555753,0.9,2.939021
189,2.6701932,0.9,2.9387631
190,2.678049,0.9,2.938525
191,2.6817582,0.9,2.9384596
192,2.6844954,0.9,2.938213
193,2.687487,0.9,2.9379668
194,2.7000248,0.9,2.9379036
195,2.6788979,0.9,2.937654
196,2.6908655,0.9,2.9374077
197,2.7235537,0.9,2.9373455
198,2.7749,0.9,2.9371011
199,2.787045,0.9,2.9368548
200,2.7794642,0.9,2.9367926
201,2.7623622,0.9,2.9365377
202,2.729898,0.9,2.9363
203,2.7460213,0.9,2.9362369
204,2.7688122,0.9,2.935994
205,2.7851663,0.9,2.9357505
206,2.7611647,0.9,2.9355042
207,2.7487319,0.9,2.9352603
208,2.7285821,0.9,2.9352002
209,2.7189083,0.9,2.934957
210,2.6994672,0.9,2.934714
211,2.6852083,0.9,2.9344594
212,2.6902585,0.9,2.9343247
213,2.6845708,0.9,2.9341762
214,2.661316,0.9,2.933982
215,2.6547747,0.9,2.9335778
216,2.6798644,0.9,2.933441
217,2.6623335,0.9,2.9333034
218,2.6797037,0.9,2.9329827
219,2.6602244,0.9,2.9328425
220,2.6668267,0.9,2.932522
221,2.658596,0.9,2.9323852
222,2.6661463,0.9,2.9322455
223,2.659441,0.9,2.9319217
224,2.6674657,0.9,2.9317935
225,2.6817374,0.9,2.9316533
226,2.6950893,0.9,2.931504
227,2.7089062,0.9,2.9311814
228,2.723009,0.9,2.9310408
229,2.7241871,0.9,2.9307148
230,2.733204,0.9,2.930575
