,district elec,district heat,heat,district biomass,district biomethane,TTES,PTES
1819,172.191328,58.293523772860674,59.583392593866016,33.63,120.0,67.87885100805752,68.36470766136307
1820,172.191328,58.94998281648211,60.32840303838433,33.63,120.0,67.88427553400501,68.36722980087133
1821,172.191328,59.45895351972549,61.08272734864798,33.63,120.0,67.88977340291542,68.3697859298197
1822,172.191328,60.06146756980444,62.028867683134784,33.63,120.0,67.89538951861456,68.37239691905084
1823,172.191328,61.137372067799724,63.32793183561514,33.63,120.0,67.90109416684359,68.3750489480236
1824,172.191328,61.819228618801034,64.01737032394003,33.63,120.0,67.90687558425341,68.37773654295863
1825,172.191328,62.50713865008681,64.63878274570678,33.63,120.0,67.91273571934515,68.380460604632
1826,172.191328,63.281613461442554,65.30307417437002,33.63,120.0,67.9186515067681,68.38321040717537
1827,172.191328,63.779661165402956,65.56055144319043,33.63,120.0,67.9246346981401,68.38599140886173
1828,172.191328,64.41682041250462,65.92565253799003,33.63,120.0,67.93063224774014,68.38877895176833
1829,172.191328,64.47128032538079,65.63689326795813,33.63,120.0,67.93667600762028,68.39158783777788
1830,172.76670938696444,65.04925637540616,66.10800394129548,33.63,120.0,67.9426941265326,68.39438467355123
1831,172.191328,64.59394943974003,65.64972794518401,33.63,120.0,67.94850835332869,68.39708662884675
1832,172.191328,62.77333977215711,63.89254114702443,33.63,120.0,67.95408220286218,68.39967676297732
1833,172.191328,60.668842692353046,61.834804704400305,33.63,120.0,67.95947029457315,68.40218046972566
1834,172.191328,59.00072290395617,60.217295213739376,33.63,120.0,67.9646814626687,68.40460186471508
1835,153.89170199533322,51.53228686594094,52.656003717457985,33.63,120.0,67.96977449517014,68.40696827189382
1836,153.8981143911165,50.61598886315789,51.75916292520773,33.63,120.0,67.97476243218837,68.4092857563703
1837,153.90452705409302,49.831952796279886,50.97331640827992,33.63,120.0,67.9796311352737,68.41154775546397
1838,153.91093998427388,48.97196440213366,50.1048912575075,33.63,120.0,67.98444052095408,68.41378211059184
1839,172.17797155435773,54.092154010782586,55.34336475794577,33.63,120.0,67.98925873839352,68.41602048334936
1840,172.191328,54.17914382907244,55.40000626827319,33.63,120.0,67.99413940042,68.41828777803617
1841,172.191328,54.69082497884806,55.89695275268185,33.63,120.0,67.999188031007,68.420633008195
1842,172.191328,56.090427468613846,57.31922610395886,33.63,120.0,68.00453088273285,68.4231148073508
1843,172.191328,58.60839708150895,59.899994507502015,33.63,120.0,68.00999397225411,68.42565234824018
1844,172.191328,59.66352075276066,61.04479741078073,33.63,120.0,68.01558919498497,68.42825114831828
1845,172.191328,60.811699440526866,62.44954773168472,33.63,120.0,68.02130620810011,68.43090639593126
1846,172.191328,61.92466591771056,63.92675987110685,33.63,120.0,68.02710862162245,68.43360118372252
1847,172.191328,62.72002732575452,64.99597042773678,33.63,120.0,68.0329890092142,68.43633205760428
1848,172.191328,63.442801228026966,65.55440455390227,33.63,120.0,68.03892890479915,68.4390904375871
1849,172.191328,63.99599932128547,66.09551372782784,33.63,120.0,68.04494499157587,68.44188406638011
1850,172.191328,64.71680469445347,66.62418079753273,33.63,120.0,68.05104678344578,68.44471735639915
1851,172.191328,65.52681388718263,67.18800183020278,33.63,120.0,68.05724605775852,68.44759577000212
1852,172.191328,66.48435221716417,67.88231789946832,33.63,120.0,68.06353026250137,68.450513473002
1853,172.2714900522479,88.06992050572116,89.54195985496602,33.63,120.0,68.06992050572116,68.45348025881579
1854,172.2781720326879,88.07630350713339,89.43749340800304,33.63,120.0,68.07630350713339,68.45644353295546
1855,172.191328,88.08247542876408,89.49033187648307,33.63,120.0,68.08247542876408,68.45930867455345
1856,172.191328,66.19175364436875,67.33976620583225,33.63,120.0,68.08835961166066,68.46204011442644
1857,172.191328,63.429356416598466,64.61859098186412,33.63,120.0,68.09397149835411,68.46464503875542
1858,153.89170199533322,54.635328184060604,55.71260113256373,33.63,120.0,68.09938250381362,68.4671566106291
1859,153.8981143911165,53.01082750269491,54.11997211379696,33.63,120.0,68.104654725954,68.46960366284334
1860,153.90452705409302,51.916450366387146,53.132417011294876,33.63,120.0,68.10980968296637,68.47199619003942
1861,153.91093998427388,51.0167911006532,52.2347394867451,33.63,120.0,68.11491978038423,68.4743678011377
1862,172.17797155435773,56.48953044053723,57.81265274882032,33.63,120.0,68.12006192141938,68.47675418685002
1863,172.191328,56.76394108835642,58.055006734999594,33.63,120.0,68.12523113867587,68.4791530402053
1864,172.191328,56.99810295108042,58.243270304387465,33.63,120.0,68.13046098935709,68.48157993111296
1865,172.191328,57.51845900627637,58.71928649410319,33.63,120.0,68.13581874180926,68.48406606905907
1866,172.191328,58.633645443695826,59.88117492935314,33.63,120.0,68.14132620569387,68.48662156584372
1867,172.191328,59.98428082210156,61.23893779712194,33.63,120.0,68.14695528247037,68.48923337563676
1868,172.191328,61.05908403769183,62.38556416197389,33.63,120.0,68.15270981458968,68.4919032734495
1869,172.191328,62.228597568580625,63.71903147642069,33.63,120.0,68.15855760631393,68.4946163151326
1870,172.191328,63.16093718813682,65.04217943190184,33.63,120.0,68.16444554382917,68.49734785511028
1871,172.191328,63.510059394788314,65.59177804852581,33.63,120.0,68.17038381094945,68.50010261489047
1872,172.191328,64.00953986900213,65.85704039445633,33.63,120.0,68.17636147362217,68.50287551936063
1873,172.191328,64.36239720795656,66.34637537577426,33.63,120.0,68.18236123088545,68.50565854118717
1874,172.191328,64.52577696490869,66.27540282699412,33.63,120.0,68.18841372831523,68.50846589261195
1875,172.191328,65.04533032922119,66.50954589317028,33.63,120.0,68.19452766436653,68.51130160450266
1876,172.191328,65.62345090760554,66.81610255579535,33.63,120.0,68.20071727638754,68.51417227549044
1877,172.191328,66.31702696223822,67.58543730789711,33.63,120.0,68.20697876543444,68.51707613866748
1878,172.191328,67.00239322571569,68.21751354263972,33.63,120.0,68.21327225638117,67.84858556644768
1879,172.191328,67.28375319684507,68.58446682603275,33.63,120.0,68.21930995790507,67.8513579376503
1880,172.191328,64.78513812222673,66.09901955324673,33.63,120.0,68.225023337428,67.85398126952953
1881,172.191328,61.72708851956236,63.07304841532065,33.63,120.0,68.23042079049381,67.85645943635265
1882,153.8788780053018,52.8223503558078,54.01707172478272,33.63,120.0,68.2355122606202,67.85879702139923
1883,153.88528986673205,50.40356518396457,51.6095204610989,33.63,120.0,68.24040456664905,67.86104307995987
1884,151.8827776559883,48.24516137962708,49.44710272351981,33.63,120.0,68.24516137962708,67.86322685168682
1885,153.8981143911165,47.86536830470041,49.031939981439585,33.63,120.0,68.2498261833114,67.86536830470041
1886,157.51687565280992,48.254466003488815,49.45908901742475,33.63,120.0,68.25446600348882,67.86749821068913
1887,172.17129374892096,52.37196321251502,53.60033295517986,33.63,120.0,68.25912961568777,68.3275509287447
1888,172.17797155435773,52.58194999830211,53.748051090489156,33.63,120.0,68.26385141072569,68.32973292793493
1889,172.191328,53.10887543633493,54.258869717753036,33.63,120.0,68.26880544193135,68.33202215686514
1890,172.191328,55.07410714838436,56.25430476325046,33.63,120.0,68.27400123195305,68.334423002766
1891,172.191328,57.20826884282464,58.390266399602815,33.63,120.0,68.27942194577636,68.33692767335167
1892,172.191328,59.14043782883542,60.41369635978633,33.63,120.0,68.28500316130666,68.33950639116037
1893,172.191328,60.56511514584629,61.97737732517939,33.63,120.0,68.29072004975713,68.34214767554502
1894,172.191328,61.792891686933515,63.56979649132798,33.63,120.0,68.29661286878475,68.34487011594301
1895,172.191328,63.510059394788314,65.56175490723962,33.63,120.0,68.30265129396932,68.34765969252474
1896,172.191328,64.90828334751755,66.86896835973965,33.63,120.0,68.30883354102637,68.35051557152254
1897,172.191328,66.26132660123103,68.17921773321778,33.63,120.0,68.31514518644438,68.3534310808357
1898,172.191328,67.52364958756246,69.32252127158512,33.63,120.0,68.32160460985122,68.35641470066757
1899,172.191328,69.00615112078809,70.60366384549437,33.63,120.0,68.32822459651909,68.35947232552863
1900,172.191328,70.64626319224112,72.03237691105784,33.63,120.0,68.33495109966445,68.36257898335649
1901,172.26480835022264,88.34178675226698,89.76470643369706,33.63,120.0,68.34178675226698,68.3657358822368
1902,172.2714900522479,88.3484813230698,89.6398808995239,33.63,120.0,68.3484813230698,68.36882746250116
1903,172.191328,88.35487503178527,89.68901008896563,33.63,120.0,68.35487503178527,68.37177995471637
1904,172.191328,68.17620411220135,69.28206467054409,33.63,120.0,68.36086903815637,68.37454774136654
1905,172.191328,64.32160388333799,65.4380365964021,33.63,120.0,68.36649539747398,68.37714564855263
1906,172.191328,60.928781738976845,62.077030966626275,33.63,120.0,68.3717940669762,68.37959214666095
1907,153.8981143911165,52.10521135410572,53.12519975591118,33.63,120.0,68.37683502332492,68.38191956119373
1908,153.90452705409302,50.16919507600517,51.196667140276524,33.63,120.0,68.38163684443333,68.38413648299023
1909,153.91093998427388,48.386280135876845,49.393522370283975,33.63,120.0,68.38628013587685,68.38628013587685
1910,157.83458178655954,48.39083021316898,49.401033605992176,33.63,120.0,68.39083021316898,68.44423019632019
1911,172.1846496380469,51.893036306040145,52.94245574760264,33.63,120.0,68.39531701600204,68.44630314777874
1912,172.191328,51.39293216755752,52.41156108836101,33.63,120.0,68.39984527898908,68.44839517975069
1913,172.191328,51.711967551514796,52.70154441580575,33.63,120.0,68.40470880727007,68.45064201635606
1914,172.191328,54.488073691557254,55.52604860963952,33.63,120.0,68.40992837001284,68.45305323353675
1915,172.191328,57.555771813700325,58.65497953053651,33.63,120.0,68.41535310498004,68.45555912464808
1916,172.191328,59.34413060662865,60.54470142447495,33.63,120.0,68.4209673032259,68.45815242146445
1917,172.191328,60.98087600932411,62.40116372779753,33.63,120.0,68.42673592969628,68.46081693049385
1918,172.191328,62.2948268737904,64.05248738250998,33.63,120.0,68.4325975770823,68.46352428071576
1919,172.191328,63.107362256931594,65.09849733896316,33.63,120.0,68.43862926250671,68.46631003513136
1920,172.191328,64.71680469445347,66.78781440012807,33.63,120.0,68.44475214345307,68.46913777231558
1921,172.191328,65.5958287357493,67.60023312960182,33.63,120.0,68.45096352160635,68.47200624008225
1922,172.191328,66.42853975129505,68.29940130033675,33.63,120.0,68.45731151059859,68.47493764956099
1923,172.191328,67.76422788877048,69.41922414157926,33.63,120.0,68.46382808075913,68.477946753172
1924,172.191328,69.48194763930043,70.90665139846865,33.63,120.0,68.47046540582464,68.48101145689621
1925,172.2781720326879,88.47721379826676,89.9476482091912,33.63,120.0,68.47721379826676,68.48412727930352
1926,172.28485429155424,88.48384647585043,89.81921530119148,33.63,120.0,68.48384647585043,68.4871895149563
1927,172.191328,88.49005645557125,89.8325287096873,33.63,120.0,68.49005645557125,68.49005645557125
1928,172.191328,66.27524819101173,67.37460341658236,33.63,120.0,65.06148343288496,65.12580502761665
1929,172.191328,62.62681746954628,63.74760883166339,33.63,120.0,65.06666322922997,65.12819862848598
1930,153.88528986673205,53.18918099308758,54.2097247794527,33.63,120.0,65.07148509739882,65.13042674071043
1931,153.89170199533322,50.25248853746183,51.267433269453235,33.63,120.0,65.07601906267095,65.1325217387585
1932,153.8981143911165,48.0547829214786,49.05674947804381,33.63,120.0,65.08033416333483,65.13451553539417
1933,153.90452705409302,46.434753607770915,47.41667751197788,33.63,120.0,65.08446688984935,65.13642500057396
1934,153.91093998427388,45.088502998305,46.04995930533456,33.63,120.0,65.088502998305,65.13828976259734
1935,172.17797155435773,49.441667213501496,50.488244021988145,33.63,120.0,65.09247399403772,65.14012438098105
1936,172.1846496380469,48.92771137915361,49.933448350069845,33.63,120.0,65.09648356709155,65.1419767608379
1937,172.191328,49.25829950891891,50.269452353675476,33.63,120.0,65.10086724531,65.14400189991653
1938,172.191328,52.32018133560378,53.38339433692629,33.63,120.0,65.10574118531689,65.1462534357378
1939,172.191328,56.628724900213136,57.78040217643666,33.63,120.0,65.1109593603665,65.1486638882871
1940,172.191328,59.7788363339215,61.06357252325619,33.63,120.0,65.11639034113536,65.15117253034147
1941,172.191328,61.687633462007845,63.23574571977871,33.63,120.0,65.12188209680377,65.15370912998894
1942,172.191328,61.97743834143417,63.84145617599292,33.63,120.0,65.12755630961725,65.15632988222684
1943,172.191328,63.91480401613887,66.01538562198496,33.63,120.0,65.13315853151569,65.1589172641846
1944,172.191328,62.84003116477483,65.09114326696954,33.63,120.0,65.13881052956962,65.16152751325504
1945,172.191328,63.281613461442554,65.44558727538555,33.63,120.0,65.14458629842645,65.16419479583044
1946,172.191328,64.51214936091756,66.54539209414789,33.63,120.0,65.15042636700989,65.16689164220726
1947,172.191328,65.18260806893282,66.96342105127395,33.63,120.0,65.15639776758034,65.16964899944794
1948,172.191328,66.58211405043242,68.1080852135933,33.63,120.0,65.16259197936908,65.17250909579168
1949,172.191328,69.09246565415859,70.37417624665557,33.63,120.0,65.16895947886616,65.1754490508036
1950,172.2781720326879,85.17523730547568,86.60894238424339,33.63,120.0,65.17523730547568,65.17834745239723
1951,172.191328,85.18101466812135,86.62273833472572,33.63,120.0,65.18101466812135,65.18101466812135
1952,172.191328,64.89459132981226,66.0956481929474,33.63,120.0,62.637839689400266,62.65303392572135
1953,172.191328,60.668842692353046,61.88044690165352,33.63,120.0,62.642562965020346,62.65521494504451
1954,153.8724664110314,50.87202418221034,51.96137390211517,33.63,120.0,62.646975149193395,62.657252237580884
1955,153.8788780053018,48.30245251481988,49.39136166274661,33.63,120.0,62.651132688946674,62.659171881389895
1956,153.88528986673205,46.32671622670737,47.40484680474276,33.63,120.0,62.655053881247596,62.66098233644267
1957,153.89170199533322,44.59440985284658,45.646977603134836,33.63,120.0,62.65881664469439,62.66271958709051
1958,153.8981143911165,43.46586574456433,44.50026894983421,33.63,120.0,62.66246715355793,62.664404957478766
1959,153.90452705409302,42.66606678931604,43.673827465123146,33.63,120.0,62.66606678931604,62.66606678931604
1960,172.17129374892096,47.126025645552474,48.20663382747225,33.63,120.0,62.66973180146533,62.667758749993084
1961,172.191328,47.66408945241624,48.75510361800809,33.63,120.0,62.67383060862945,62.66965090643622
1962,172.191328,51.290719268926075,52.45275811157921,33.63,120.0,62.67860632455902,62.67185545782831
1963,172.191328,57.27019985303619,58.56857564978565,33.63,120.0,62.683696322753384,62.67420498453896
1964,172.191328,60.01000093945969,61.44761431427051,33.63,120.0,62.688988250933846,62.676647610450964
1965,172.191328,61.89829315280795,63.6300662747538,33.63,120.0,62.694375875197196,62.67913429228157
1966,172.191328,63.00032116231102,65.11590321222387,33.63,120.0,62.69972602225317,62.68160356291031
1967,172.191328,62.693384651966916,64.9981541218871,33.63,120.0,62.70509056527677,62.684079363710644
1968,172.191328,62.80000954945322,65.25611825249347,33.63,120.0,62.710592754619725,62.686618570010815
1969,172.191328,64.4032111707101,66.80721504271986,33.63,120.0,62.71626880247406,62.68923788271651
1970,172.191328,66.67999053883065,68.97358699119623,33.63,120.0,62.722081914003454,62.69192031200302
1971,172.191328,68.13349345366369,70.16428166447238,33.63,120.0,62.72806815905648,62.694682490939094
1972,172.191328,69.74257396562837,71.48562629204201,33.63,120.0,62.73415105035658,62.6974891179573
1973,172.191328,70.76354545272265,72.19432628190589,33.63,120.0,62.74028934443945,62.70032115847665
1974,172.191328,71.32275943653066,72.63107223633898,33.63,120.0,62.74622591941764,62.70305999183203
1975,172.191328,69.04929762728827,70.32293968270716,33.63,120.0,62.75162019590498,62.705548521095366
1976,172.191328,63.24136761636131,64.51707881640604,33.63,120.0,62.75659909461908,62.70784532698987
