,TTES
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,3.3752887368682636
384,11.341239263934293
385,17.901660737435147
386,21.224842266912447
387,20.2875369477257
388,9.013685498864461
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,6.243649587733117
407,14.891282806221406
408,23.492800454714164
409,30.774693115840293
410,35.306616628396775
411,35.81326617491064
412,26.354030285009742
413,5.132946380950223
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,5.987747917465732
431,13.849271914073872
432,19.813626211876652
433,23.52798061764939
434,24.06893588150642
435,21.08186957974062
436,7.803224604166402
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.0
448,0.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.3033915954737125
454,7.50400322100475
455,17.363126000979378
456,26.101394307805997
457,33.470999780218236
458,38.032508693827936
459,38.173253821266336
460,27.758497013808842
461,5.291569653065498
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,3.082508210329827
479,8.221304365062082
480,9.259649633826076
481,9.25875611174896
482,7.459733640643956
483,4.734465870923939
484,4.7339997017316815
485,4.733529874037684
486,1.054059803626939
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
