,biomethane boiler,large scale heat pump,TTES charge,TTES discharge,selling,heating grid
107,0.0,15.955113432954981,0.7460919354757607,0.0,0.0,42.42359240803119
108,0.0,15.092967435423438,0.020137355941358237,0.0,0.0,41.146180528072165
109,0.0,14.450054213407746,0.020190814861990702,0.0,0.0,40.59379171037688
110,0.0,14.83864453823261,0.02020681781451117,0.0,0.0,40.27086111818466
111,0.0,15.085288883073503,0.020282040705978943,0.0,0.0,40.55636913864669
112,0.0,15.575568433265621,0.02051515115962843,0.0,0.0,41.716816112760725
113,0.0,15.764753949130855,0.020685261910188046,0.0,0.0,41.77418741936153
114,0.0,16.039083488806817,0.02081464977095493,0.0,0.0,42.18211487637213
115,0.0,16.109889767573893,0.0,0.0,0.0,42.15065407553761
116,0.0,15.278850143719676,0.0,0.0,0.0,39.97628390829721
117,0.0,13.214048414683694,0.0,0.0,0.0,34.472890393627765
118,0.0,11.128689469247922,0.0833281699763404,0.0,0.0,29.034285103611552
119,0.0,10.217026217701562,0.020832761298009927,0.0,0.0,26.70587851235506
120,0.0,14.799926127816466,0.020854652366523396,0.0,0.0,38.67808832992808
121,0.0,15.2458597536562,0.020915557518065953,0.0,0.0,39.819083174376864
122,0.0,16.201013503681686,0.020925667457589725,0.0,0.0,42.20027885932253
123,0.0,17.627349210515412,0.020915138607762174,0.0,0.0,45.88868048484584
124,0.0,18.518503046811947,0.0,6.7356014108616264,0.0,55.00645500946645
125,0.0,18.518503046811947,0.0,17.464547647577312,0.0,65.78582071294693
126,0.0,18.518503046811947,0.0,23.23274218341014,0.0,71.63481815016002
127,0.0,18.518503046811947,0.0,20.817109185899476,0.0,69.33055453978844
128,0.0,18.518503046811947,0.0,17.712767168154464,0.0,66.20594064731335
129,0.0,18.518503046811947,0.0,14.45070547134707,0.0,63.04534026981187
130,0.0,18.518503046811947,0.0,8.386636241654188,0.0,59.62367936149505
131,0.0,18.518503046811947,0.0,3.2839869761348766,0.0,57.02821454996025
132,0.0,18.518503046811947,0.0,1.2061804893063908,0.0,55.61878989084364
133,0.0,18.518503046811947,0.0,2.254158335996152,0.0,54.82946320485504
134,0.0,18.518503046811947,0.0,2.5338082706850287,0.0,55.32581884441726
135,0.0,18.518503046811947,0.0,5.84588017865434,0.0,55.99349757538507
136,0.0,18.518503046811947,0.0,6.294771993643835,0.0,56.273923497419545
137,0.0,18.518503046811947,0.0,7.926568171832336,0.0,55.89622960577874
138,0.0,18.518503046811947,0.0,7.7839212082637275,0.0,55.19737927153258
139,0.0,18.518503046811947,0.0,7.80592934468477,0.0,54.6903753095585
140,0.0,18.518503046811947,0.0,4.743204856247807,0.0,51.67633429767003
