,TTES
459,-0.144159160801955
460,10.411317335447528
461,22.464403522580696
462,5.291087158579533
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,-3.082508210329827
479,-5.139091912597557
480,-1.039138319501511
481,0.0
482,1.7981285093799073
483,2.724540948028517
484,0.0
485,0.0
486,3.6789951173435043
487,1.0539532371457057
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,-0.08943075125705491
503,-2.485157110854388
504,-4.584342346191768
505,-2.8602412368906798
506,-0.6249664902056224
507,2.5446727105071503
508,8.095832790932755
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,-3.1647942986055213
527,-5.308073823879184
528,-6.025435740875778
529,-6.208081354994576
530,-1.2805695712443779
531,7.737461013576535
532,14.241875314063961
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,-1.2617539786245118
551,-4.137641439510972
552,-3.0682981290496087
553,-1.84576752998381
554,-0.1711103064236852
555,3.664764062447537
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,-0.7549095185044266
575,-2.921727494433746
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,3.2287540128168786
583,1.2532783539329557
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,-0.1600520418540654
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,4.3436174736689
607,1.7933901416240445
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.0
615,0.0
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,-1.1740599387347856
624,-1.2590736989735234
625,0.0
626,0.9280549867239445
627,0.0
628,0.0
629,0.0
630,1.5039101525141803
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,-4.21944854927488
647,-6.239754848188163
648,-9.499884681759426
649,-8.08813037653428
650,-6.42993329636824
651,-2.2069888355584553
652,7.903369217287171
653,22.084672056824225
654,6.680972635310311
655,0.0
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,-6.985679024706762
671,-9.40775346403511
672,-12.782992048994595
673,-12.782992048994595
674,-11.0604166826351
675,-7.275296256086179
676,1.8902525702545105
677,14.271119338681835
678,16.828000082036596
679,13.858684104824562
680,9.574678267285258
681,3.8397270667235124
682,0.0
683,-0.7006679993766127
684,-3.769124558249736
