,heat demand
442,94.0608976
443,89.909522
444,87.6545196
445,86.3918705
446,87.1866551
447,88.2554938
448,88.705072
449,88.1016757
450,86.9830859
451,86.1719841
452,81.3500269
453,71.7481195
454,62.0065711
455,58.9599128
456,60.9553485
457,62.7907328
458,66.6298981
459,72.570189
460,87.2532315
461,104.569154
462,113.966756
463,110.264337
464,105.234812
465,100.144411
466,94.6338954
467,90.456244
468,88.1860834
469,86.9145196
470,87.7127827
471,88.7862512
472,89.2276849
473,88.6099766
474,87.4792766
475,86.6616897
476,81.8067993
477,72.1480263
478,62.3755158
479,59.3357748
480,65.1413576
481,67.4678792
482,70.0883686
483,76.1762735
484,92.0642103
485,114.420597
486,125.006767
487,120.468539
488,114.676313
489,109.505084
490,103.538836
491,98.3349189
492,95.537154
493,93.9913733
494,94.6891836
495,95.8557995
496,96.5208314
497,96.5474391
498,95.8390103
499,94.1058877
500,89.3603342
501,79.0621055
502,67.407058
503,63.5727878
504,60.4992365
505,63.2831614
506,66.7844832
507,72.7379002
508,88.2312695
509,109.858896
510,115.193386
511,110.733167
512,104.088212
513,99.9098691
514,96.5486358
515,89.8530989
516,85.3993476
517,84.1270299
518,84.9483472
519,87.4506701
520,90.3387446
521,91.066824
522,89.356929
523,87.4595596
524,86.4722613
525,76.6947256
526,65.9018497
527,62.883668
528,62.2006709
529,61.889059
530,68.979295
531,81.9996576
532,97.3123274
533,94.9190664
534,99.6923822
535,96.7668693
536,92.0361035
537,88.0299374
538,86.1518147
539,81.964778
540,79.9275798
541,81.2425405
542,82.9233486
543,82.4889619
544,87.7885892
545,89.5242642
546,88.4768062
547,88.4445689
548,85.8619298
549,75.7445253
550,68.1067457
551,61.6509419
552,63.1519296
553,65.0772895
554,69.934776
555,76.1699098
556,91.9120756
557,109.739486
558,118.11068
559,114.227154
560,109.278737
561,104.595854
562,98.9764865
563,93.9312718
564,92.3741742
565,91.0392552
566,91.7116252
567,92.3421539
568,94.9493179
569,95.2884435
570,94.0993152
571,90.9276004
572,86.9875687
573,76.6862405
574,66.1085818
575,62.2709092
576,67.3157345
577,69.34043
578,73.5837697
579,80.1443135
580,96.3602768
581,115.449809
582,125.82009
583,121.735581
584,116.181048
585,110.557529
586,104.470284
587,99.8576265
588,97.3496209
589,95.9447752
590,96.8259583
591,98.0105637
592,98.4905083
593,97.8010282
594,96.5476682
595,95.643708
596,90.2803349
597,79.6165768
598,68.8424398
599,65.5126774
600,67.6837519
601,69.720142
602,73.9818652
603,80.5763817
604,96.8764543
605,116.104227
606,126.572186
607,122.453174
608,116.864431
609,111.2108
610,105.090616
611,100.451597
612,97.9300755
613,96.5181407
614,97.4061187
615,98.5998629
616,99.0941694
617,98.4117943
618,97.1563784
619,96.2486358
620,90.8569799
621,80.1278844
622,69.2590504
623,65.8837754
624,65.388104
625,67.3554319
626,71.4764161
627,77.8490487
628,93.6006002
629,112.151766
630,122.22578
631,118.257484
632,112.862216
633,107.40027
634,101.487823
635,97.0070339
636,94.5711173
637,93.2066517
638,94.0626332
639,95.2134667
640,95.6813898
641,95.0133434
642,93.7970379
643,92.9192245
644,87.7099415
645,77.3509936
646,66.8815475
647,63.6403569
648,59.327204
649,61.4475497
650,63.8327235
651,69.3771853
652,83.8461197
653,104.231303
654,113.878913
655,109.742725
656,104.468102
657,99.7598057
658,94.3276395
659,89.5882333
660,87.0414182
661,85.6343273
662,86.2703544
663,87.3335789
664,87.9455268
665,87.9752825
666,87.3335388
667,85.7569695
668,81.4361111
669,72.0545518
670,61.4255454
671,57.9108696
672,49.7863618
673,52.0783205
674,54.9534245
675,59.851258
676,72.5959245
677,90.4439435
678,94.8697258
679,91.191086
