,biomethane boiler,large scale heat pump,TTES charge,TTES discharge,selling
1744,-0.0,-10.688986391634323,-0.0,-0.0,-0.0
1745,-0.0,-12.002870364838511,-0.0,-0.0,-0.0
1746,-0.0,-12.20329094014371,-0.0,-0.0,-0.0
1747,-0.0,-13.32774954395622,-0.0,-0.0,-0.0
1748,-0.0,-13.634513072828769,-0.0,-0.0,-0.0
1749,-0.0,-12.14388877499727,-0.0,-0.0,-0.0
1750,-0.0,-10.17305849234018,-0.0,-0.0,-0.0
1751,-0.0,-9.184455797009859,-0.0,-0.0,-0.0
1752,-0.0,-8.898772124730964,-0.0,-0.0,-0.0
1753,-0.0,-9.342298534841087,-0.0,-0.0,-0.0
1754,-0.0,-10.048571055112474,-0.0,-0.0,-0.0
1755,-0.0,-11.55952020085061,-0.0,-0.0,-0.0
1756,-0.0,-13.888976187251734,-0.0,-0.0,-0.0
1757,-0.0,-16.8814908260935,-0.0,-0.0,-0.0
1758,-0.0,-18.518503046811947,-0.0,-0.5125241088844916,-0.0
1759,-0.0,-18.518503046811947,-0.0,-0.07630920331957469,-0.0
1760,-0.0,-16.563455747375723,-0.0,-0.0,-0.0
1761,-0.0,-14.940932299836984,-0.0,-0.0,-0.0
1762,-0.0,-13.233609908697801,-0.0,-0.0,-0.0
1763,-0.0,-12.08740363977642,-0.0,-0.0,-0.0
1764,-0.0,-12.056297570262533,-0.0,-0.0,-0.0
1765,-0.0,-11.220661027998059,-0.0,-0.0,-0.0
1766,-0.0,-11.026912955192355,-0.0,-0.0,-0.0
1767,-0.0,-11.358545711404785,-0.0,-0.0,-0.0
1768,-0.0,-12.021465147320143,-0.0,-0.0,-0.0
1769,-0.0,-12.138345627367164,-0.0,-0.0,-0.0
1770,-0.0,-12.259672961460192,-0.0,-0.0,-0.0
1771,-0.0,-12.389664369132307,-0.0,-0.0,-0.0
1772,-0.0,-11.833921202587101,-0.0,-0.0,-0.0
1773,-0.0,-10.162578140722902,-0.0,-0.0,-0.0
1774,-0.0,-8.571845218951696,-0.0,-0.0,-0.0
1775,-0.0,-7.867426191774439,-0.0,-0.0,-0.0
1776,-0.0,-7.56688403991975,-0.0,-0.0,-0.0
1777,-0.0,-7.888276520350583,-0.0,-0.0,-0.0
1778,-0.0,-8.556525827798582,-0.0,-0.0,-0.0
1779,-0.0,-9.954408389036937,-0.0,-0.0,-0.0
1780,-0.0,-11.984133691603542,-0.0,-0.0,-0.0
1781,-0.0,-14.863603274324785,-0.0,-0.0,-0.0
1782,-0.0,-16.504968220448834,-0.0,-0.0,-0.0
1783,-0.0,-16.607364630946922,-0.0,-0.0,-0.0
1784,-0.0,-15.309938565459564,-0.0,-0.0,-0.0
1785,-0.0,-14.147784924717186,-0.0,-0.0,-0.0
1786,-0.0,-13.164583076829395,-0.0,-0.0,-0.0
1787,-0.0,-12.12476267069701,-0.0,-0.0,-0.0
1788,-0.0,-11.003765807303223,-0.0,-0.0,-0.0
1789,-0.0,-10.589065342865364,-0.0,-0.0,-0.0
1790,-0.0,-10.482962684878661,-0.0,-0.0,-0.0
1791,-0.0,-10.379774847863807,-0.0,-0.0,-0.0
1792,-0.0,-11.04949659692092,-0.0,-0.0,-0.0
1793,-0.0,-11.362441678279202,-0.0,-0.0,-0.0
1794,-0.0,-11.735881035163128,-0.0,-0.0,-0.0
1795,-0.0,-11.971245951883509,-0.0,-0.0,-0.0
1796,-0.0,-11.527462086108288,-0.0,-0.0,-0.0
1797,-0.0,-10.01728572349912,-0.0,-0.0,-0.0
1798,-0.0,-8.48795227076819,-0.0,-0.0,-0.0
1799,-0.0,-7.80564698971982,-0.0,-0.0,-0.0
1800,-0.0,-8.324297448841213,-0.0,-0.0,-0.0
1801,-0.0,-8.744950881469903,-0.0,-0.0,-0.0
1802,-0.0,-9.497437894377985,-0.0,-0.0,-0.0
1803,-0.0,-10.926792876499603,-0.0,-0.0,-0.0
1804,-0.0,-12.973808238740425,-0.0,-0.0,-0.0
1805,-0.0,-15.974686246606126,-0.0,-0.0,-0.0
1806,-0.0,-17.694342454247,-0.0,-0.0,-0.0
1807,-0.0,-17.647598943094348,-0.0,-0.0,-0.0
1808,-0.0,-15.356064189240909,-0.0,-0.0,-0.0
1809,-0.0,-13.366511518543364,-0.0,-0.0,-0.0
1810,-0.0,-11.928761105707396,-0.0,-0.0,-0.0
1811,-0.0,-11.041548226785778,-0.0,-0.0,-0.0
1812,-0.0,-11.397147309401435,-0.0,-0.0,-0.0
1813,-0.0,-10.384362501125562,-0.0,-0.0,-0.0
1814,-0.0,-10.638200565766873,-0.0,-0.0,-0.0
1815,-0.0,-11.255301872697512,-0.0,-0.0,-0.0
1816,-0.0,-11.720076984489294,-0.0,-0.0,-0.0
1817,-0.0,-11.878399590271032,-0.0,-0.0,-0.0
1818,-0.0,-12.09379091648458,-0.0,-0.0,-0.0
1819,-0.0,-12.266779867568628,-0.0,-0.0,-0.0
1820,-0.0,-11.76759422102688,-0.0,-0.0,-0.0
1821,-0.0,-10.24087257166991,-0.0,-0.0,-0.0
1822,-0.0,-8.716069247699098,-0.0,-0.0,-0.0
1823,-0.0,-8.159455185509152,-0.0,-0.0,-0.0
1824,-0.0,-8.309322774622816,-0.0,-0.0,-0.0
1825,-0.0,-8.735691822674347,-0.0,-0.0,-0.0
1826,-0.0,-9.402159261264217,-0.0,-0.0,-0.0
1827,-0.0,-10.756567122100112,-0.0,-0.0,-0.0
1828,-0.0,-12.837888891697961,-0.0,-0.0,-0.0
1829,-0.0,-16.472796362041155,-0.0,-0.0,-0.0
1830,-0.0,-18.337535323890023,-0.0,-0.0,-0.0
1831,-0.0,-18.193602658386144,-0.0,-0.0,-0.0
1832,-0.0,-15.235374919796746,-0.0,-0.0,-0.0
1833,-0.0,-12.352614256401923,-0.0,-0.0,-0.0
1834,-0.0,-10.167399980364602,-0.0,-0.0,-0.0
1835,-0.0,-8.812899176884608,-0.0,-0.0,-0.0
1836,-0.0,-7.9734519854308985,-0.0,-0.0,-0.0
1837,-0.0,-7.767544067727363,-0.0,-0.0,-0.0
1838,-0.0,-8.228380423688884,-0.0,-0.0,-0.0
1839,-0.0,-8.848563136040429,-0.0,-0.0,-0.0
1840,-0.0,-10.33122116364602,-0.0,-0.0,-0.0
1841,-0.0,-11.54538999131271,-0.0,-0.0,-0.0
1842,-0.0,-11.916413742513457,-0.0,-0.0,-0.0
1843,-0.0,-12.380895419091832,-0.0,-0.0,-0.0
1844,-0.0,-12.023815450208224,-0.0,-0.0,-0.0
1845,-0.0,-10.612325948909941,-0.0,-0.0,-0.0
1846,-0.0,-9.097175787000616,-0.0,-0.0,-0.0
1847,-0.0,-8.272506671597279,-0.0,-0.0,-0.0
1848,-0.0,-9.07020433565946,-0.0,-0.0,-0.0
1849,-0.0,-9.27365130107115,-0.0,-0.0,-0.0
1850,-0.0,-10.371774973729982,-0.0,-0.0,-0.0
1851,-0.0,-12.11128827221819,-0.0,-0.0,-0.0
1852,-0.0,-14.690699417185538,-0.0,-0.0,-0.0
1853,-0.0,-18.518503046811947,-0.0,-0.09241149138911453,-0.0
1854,-0.0,-18.518503046811947,-0.0,-4.70614046360005,-0.0
1855,-0.0,-18.518503046811947,-0.0,-2.946534430364082,-0.0
1856,-0.0,-16.20433181408609,-0.0,-0.0,-0.0
1857,-0.0,-12.857781218291864,-0.0,-0.0,-0.0
1858,-0.0,-10.566537665356783,-0.0,-0.0,-0.0
1859,-0.0,-8.915735416606248,-0.0,-0.0,-0.0
1860,-0.0,-7.236067720771917,-0.0,-0.0,-0.0
1861,-0.0,-8.078384056608758,-0.0,-0.0,-0.0
1862,-0.0,-9.275350966019875,-0.0,-0.0,-0.0
1863,-0.0,-11.08381481061699,-0.0,-0.0,-0.0
1864,-0.0,-12.078163903349562,-0.0,-0.0,-0.0
1865,-0.0,-12.796953064876046,-0.0,-0.0,-0.0
1866,-0.0,-12.810186875999223,-0.0,-0.0,-0.0
1867,-0.0,-13.321586594463538,-0.0,-0.0,-0.0
1868,-0.0,-13.076548411842687,-0.0,-0.0,-0.0
1869,-0.0,-12.140910870048566,-0.0,-0.0,-0.0
1870,-0.0,-10.022385627419643,-0.0,-0.0,-0.0
